Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeMarre Carroll,Atlanta,0,1,0,4,8-11,5-6,37:07,3,3,-4,24,1,3-5,7,2
Kyle Korver,Atlanta,1,0,0,2,6-9,1-1,31:17,0,4,-4,17,1,4-5,2,1
Elton Brand,Atlanta,5,5,0,4,5-9,0-0,34:19,3,5,-7,10,1,0-0,7,3
Jeff Teague,Atlanta,3,0,1,3,10-18,6-7,32:30,0,2,+5,26,2,0-1,3,3
Shelvin Mack,Atlanta,8,0,0,3,1-5,3-4,30:33,0,2,-6,6,0,1-2,3,4
Lou Williams,Atlanta,4,0,0,3,5-13,2-4,32:22,0,1,-14,13,0,1-3,3,1
Dennis Schroder,Atlanta,1,0,0,3,2-3,0-0,17:18,0,2,-14,4,1,0-0,3,2
Mike Scott,Atlanta,1,0,0,1,0-6,0-0,17:11,0,3,-10,0,0,0-2,1,1
Cartier Martin,Atlanta,0,0,0,0,1-2,2-2,6:53,0,3,-1,4,0,0-1,0,1
Dexter Pittman,Atlanta,0,0,0,0,0-0,0-0,0:30,0,0,+0,0,0,0-0,0,0
Jeff Green,Boston,0,0,0,7,7-15,2-2,40:05,1,3,+5,17,1,1-4,8,3
Brandon Bass,Boston,1,1,1,6,5-11,4-4,27:08,2,2,-4,14,1,0-0,8,3
Kris Humphries,Boston,0,0,1,3,4-8,2-2,16:57,2,2,-5,10,1,0-0,5,0
Rajon Rondo,Boston,11,0,1,0,8-14,5-6,35:36,0,4,+9,22,3,1-4,0,3
Jerryd Bayless,Boston,2,0,0,1,12-21,0-0,35:34,1,5,+7,29,1,5-8,2,2
Gerald Wallace,Boston,4,0,1,7,4-8,4-5,32:43,3,3,+25,12,0,0-0,10,2
Chris Johnson,Boston,2,0,1,4,1-7,2-2,25:27,3,3,+10,5,1,1-5,7,1
Phil Pressey,Boston,4,0,0,3,0-3,2-2,18:21,1,1,-1,2,1,0-1,4,0
Joel Anthony,Boston,0,0,1,1,2-3,0-0,8:09,1,1,+9,4,1,0-0,2,0
