Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zaza Pachulia,Atlanta,2,0,0,3,2-5,0-0,25:28,3,6,+0,4,1,0-0,6,1
Kyle Korver,Atlanta,4,0,0,3,4-6,0-0,37:30,0,2,+0,11,1,3-4,3,1
Devin Harris,Atlanta,3,0,0,3,6-15,2-2,32:33,0,3,+0,17,0,3-8,3,0
Josh Smith,Atlanta,3,1,0,8,5-15,2-3,36:47,1,2,+0,12,1,0-3,9,4
Johan Petro,Atlanta,0,0,0,5,2-4,0-0,13:17,0,3,+0,4,1,0-0,5,0
Lou Williams,Atlanta,0,0,0,0,0-2,0-0,9:39,0,1,+0,0,1,0-0,0,1
Anthony Tolliver,Atlanta,0,0,0,4,2-3,0-0,13:31,0,3,+0,5,0,1-2,4,1
Jeff Teague,Atlanta,10,1,0,0,8-17,3-4,37:30,0,3,+0,21,0,2-4,0,4
Ivan Johnson,Atlanta,0,1,0,3,2-6,1-3,10:14,0,2,+0,5,0,0-0,3,3
John Jenkins,Atlanta,0,0,0,0,1-2,0-0,13:25,0,0,+0,2,1,0-0,0,0
Mike Scott,Atlanta,0,0,0,1,3-5,2-2,10:06,1,1,+0,8,0,0-0,2,0
Joe Johnson,Brooklyn,2,0,0,3,7-17,1-2,41:27,0,2,+0,18,1,3-7,3,3
Gerald Wallace,Brooklyn,4,1,0,2,1-6,5-6,29:02,1,3,+0,8,1,1-4,3,1
Reggie Evans,Brooklyn,1,0,0,15,1-2,0-4,28:31,5,2,+0,2,2,0-0,20,2
Keith Bogans,Brooklyn,0,0,0,2,3-4,0-0,21:00,0,1,+0,8,2,2-3,2,0
Kris Humphries,Brooklyn,0,0,0,2,0-1,1-2,5:58,0,2,+0,1,0,0-0,2,1
Deron Williams,Brooklyn,7,0,0,2,7-19,7-7,37:42,0,3,+0,24,0,3-9,2,4
Andray Blatche,Brooklyn,0,0,0,5,4-5,3-5,15:35,3,4,+0,11,0,0-0,8,1
C.J. Watson,Brooklyn,1,0,0,1,0-5,1-2,13:25,0,1,+0,1,1,0-2,1,1
Brook Lopez,Brooklyn,2,1,0,4,7-12,6-8,32:13,2,3,+0,20,1,0-0,6,3
MarShon Brooks,Brooklyn,1,0,0,1,0-2,1-2,8:48,0,0,+0,1,0,0-1,1,0
Mirza Teletovic,Brooklyn,0,0,0,0,0-1,0-0,6:19,0,1,+0,0,0,0-0,0,2
