Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zaza Pachulia,Atlanta,1,0,0,3,2-9,0-0,18:36,3,3,+0,4,1,0-0,6,0
Kyle Korver,Atlanta,0,0,0,2,3-5,2-3,25:20,0,4,+0,9,1,1-2,2,1
Devin Harris,Atlanta,0,0,0,2,0-5,0-0,16:02,0,3,+0,0,0,0-2,2,2
Josh Smith,Atlanta,1,2,0,5,4-14,1-2,26:57,0,2,+0,9,0,0-2,5,1
Johan Petro,Atlanta,0,0,0,1,2-4,1-1,6:56,1,1,+0,5,0,0-0,2,1
Lou Williams,Atlanta,3,0,0,1,2-6,0-0,24:45,0,0,+0,4,0,0-2,1,2
Al Horford,Atlanta,1,1,0,6,3-10,0-0,26:36,5,2,+0,6,2,0-0,11,4
Anthony Tolliver,Atlanta,0,1,0,1,0-2,0-0,15:18,1,2,+0,0,0,0-1,2,0
Jeff Teague,Atlanta,5,1,0,2,2-8,2-2,27:29,0,2,+0,6,1,0-2,2,2
Ivan Johnson,Atlanta,0,0,0,1,1-5,0-0,5:26,0,2,+0,2,0,0-0,1,1
John Jenkins,Atlanta,3,1,0,2,1-9,0-0,30:37,0,1,+0,3,0,1-3,2,0
Mike Scott,Atlanta,1,0,0,2,4-5,2-2,15:58,1,2,+0,10,0,0-0,3,0
Nazr Mohammed,Chicago,1,1,0,3,1-3,2-2,12:00,1,3,+0,4,1,0-0,4,2
Richard Hamilton,Chicago,2,0,0,1,2-7,4-4,20:14,0,1,+0,8,2,0-1,1,1
Vladimir Radmanovic,Chicago,1,0,0,0,0-2,0-0,3:45,2,0,+0,0,0,0-1,2,0
Carlos Boozer,Chicago,3,1,0,11,7-14,6-8,31:32,2,4,+0,20,0,0-0,13,5
Kirk Hinrich,Chicago,3,2,0,3,0-3,1-2,24:00,0,3,+0,1,0,0-1,3,0
Luol Deng,Chicago,1,1,0,2,7-9,2-4,32:37,0,0,+0,18,2,2-3,2,0
Nate Robinson,Chicago,3,1,0,5,4-8,0-1,18:00,2,1,+0,9,0,1-3,7,0
Joakim Noah,Chicago,1,2,0,12,2-11,5-6,27:34,4,1,+0,9,0,0-0,16,2
Marco Belinelli,Chicago,1,0,0,0,2-5,2-2,23:28,0,1,+0,6,0,0-1,0,2
Daequan Cook,Chicago,0,0,0,1,2-3,0-0,4:18,0,0,+0,6,0,2-3,1,0
Taj Gibson,Chicago,0,5,0,5,4-8,0-0,21:08,2,2,+0,8,1,0-0,7,1
Jimmy Butler,Chicago,1,0,0,1,2-5,3-4,15:24,2,0,+0,8,0,1-1,3,0
Marquis Teague,Chicago,1,0,0,0,0-1,0-0,6:00,0,0,+0,0,0,0-0,0,0
