Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Millsap,Atlanta,3,2,2,9,9-17,0-0,47:51,2,4,-7,20,2,2-4,11,6
DeMarre Carroll,Atlanta,0,0,1,1,3-7,1-2,25:37,0,2,+15,8,1,1-3,1,0
Al Horford,Atlanta,4,2,1,5,11-17,2-2,36:13,3,2,+9,25,0,1-1,8,1
Jeff Teague,Atlanta,14,0,3,3,14-24,5-7,48:44,0,3,-1,34,3,1-4,3,6
Kyle Korver,Atlanta,5,0,0,6,7-15,2-2,43:35,0,1,+13,20,1,4-12,6,2
Shelvin Mack,Atlanta,5,0,1,5,3-9,3-4,35:39,2,2,-6,10,3,1-3,7,0
Lou Williams,Atlanta,1,0,0,0,3-9,1-2,21:33,0,3,-15,7,1,0-4,0,1
Elton Brand,Atlanta,0,1,0,2,0-0,0-0,9:40,0,2,-4,0,0,0-0,2,2
Gustavo Ayon,Atlanta,0,0,0,1,0-1,0-0,8:01,2,2,-4,0,1,0-0,3,2
Mike Scott,Atlanta,0,0,0,0,0-2,0-0,7:57,1,2,+7,0,1,0-2,1,0
Pero Antic,Atlanta,1,0,0,0,1-2,0-0,5:05,0,1,+5,3,0,1-1,0,0
Dennis Schroder,Atlanta,0,0,0,0,0-0,0-0,0:05,0,0,-2,0,0,0-0,0,1
Tristan Thompson,Cleveland,1,2,2,4,8-13,6-8,46:46,2,4,-14,22,0,0-0,6,2
Earl Clark,Cleveland,1,1,1,4,1-4,0-0,18:23,1,1,+0,3,0,1-1,5,0
Andrew Bynum,Cleveland,0,1,0,1,2-3,0-0,17:49,0,0,-10,4,0,0-0,1,0
Kyrie Irving,Cleveland,9,1,0,2,17-33,3-4,45:05,0,3,-9,40,4,3-8,2,6
C.J. Miles,Cleveland,0,0,0,2,4-7,0-0,13:44,0,1,-1,10,1,2-3,2,2
Dion Waiters,Cleveland,2,0,1,3,9-14,1-2,41:48,1,1,+10,20,0,1-3,4,5
Anderson Varejao,Cleveland,3,3,0,12,4-7,0-0,34:36,5,4,+11,8,1,0-1,17,3
Jarrett Jack,Cleveland,3,0,0,4,2-5,5-8,32:21,1,2,+0,9,0,0-1,5,2
Matthew Dellavedova,Cleveland,3,0,0,1,2-6,4-4,24:03,0,2,-6,9,2,1-4,1,2
Tyler Zeller,Cleveland,0,0,1,1,0-1,0-0,10:45,1,0,+6,0,1,0-0,2,0
Anthony Bennett,Cleveland,0,0,0,0,0-1,0-0,4:41,0,1,+3,0,0,0-0,0,0
