Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Millsap,Atlanta,1,0,2,5,6-14,2-3,34:24,2,3,+5,14,2,0-1,7,0
DeMarre Carroll,Atlanta,1,0,0,0,4-9,3-4,27:32,4,4,+5,12,3,1-4,4,1
Al Horford,Atlanta,3,0,1,8,7-14,3-6,32:36,3,0,+14,17,1,0-0,11,3
Jeff Teague,Atlanta,9,1,2,4,7-17,4-5,33:48,2,1,+6,18,2,0-2,6,4
Kyle Korver,Atlanta,2,0,0,3,5-8,0-0,32:54,0,3,+10,14,0,4-6,3,1
Shelvin Mack,Atlanta,2,0,0,1,2-6,0-0,18:37,0,1,-3,4,1,0-0,1,3
John Jenkins,Atlanta,0,0,0,5,2-6,1-1,18:13,0,0,+7,6,0,1-4,5,2
Gustavo Ayon,Atlanta,2,1,0,4,0-0,0-0,15:24,0,2,-7,0,1,0-0,4,0
Mike Scott,Atlanta,0,0,1,4,3-6,1-2,13:36,0,0,+2,9,0,2-3,4,0
Cartier Martin,Atlanta,0,0,1,1,1-5,0-0,12:56,0,0,-4,2,0,0-3,1,0
Kyle Singler,Detroit,1,1,0,3,9-13,3-4,41:14,0,4,-10,22,1,1-2,3,2
Greg Monroe,Detroit,1,1,0,8,4-9,3-4,28:45,3,1,-1,11,1,0-0,11,2
Andre Drummond,Detroit,0,2,0,12,6-7,3-8,35:17,4,3,+3,15,0,0-0,16,0
Brandon Jennings,Detroit,14,0,1,1,4-16,0-0,38:12,1,4,-8,8,1,0-4,2,5
Kentavious Caldwell-Pope,Detroit,1,0,1,1,4-14,0-0,28:13,2,0,+4,9,4,1-5,3,0
Rodney Stuckey,Detroit,1,0,0,5,6-15,5-6,30:48,0,3,-10,17,0,0-0,5,1
Josh Smith,Detroit,1,3,0,7,0-7,0-0,19:32,0,0,-8,0,1,0-1,7,2
Josh Harrellson,Detroit,0,0,0,4,3-3,0-0,11:13,1,1,-8,7,0,1-1,5,0
Peyton Siva,Detroit,0,0,0,0,0-0,0-0,4:24,0,0,-1,0,0,0-0,0,3
Jonas Jerebko,Detroit,0,0,0,0,0-0,0-0,2:22,0,0,+4,0,0,0-0,0,0
