Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeShawn Stevenson,Atlanta,2,0,0,2,3-6,0-0,23:54,0,2,+0,8,1,2-3,2,0
Zaza Pachulia,Atlanta,2,0,0,2,1-3,0-0,15:56,0,3,+0,2,0,0-0,2,1
Kyle Korver,Atlanta,1,0,0,3,1-3,0-0,25:53,0,2,+0,3,0,1-3,3,1
Josh Smith,Atlanta,0,4,0,5,5-12,5-6,23:11,2,1,+0,17,1,2-2,7,2
Johan Petro,Atlanta,0,0,0,0,0-0,0-0,3:37,0,0,+0,0,0,0-0,0,0
Lou Williams,Atlanta,2,1,0,1,9-16,0-0,32:20,0,2,+0,21,1,3-6,1,1
Al Horford,Atlanta,4,0,0,12,9-16,0-0,30:48,1,0,+0,18,1,0-0,13,1
Anthony Tolliver,Atlanta,0,0,0,1,0-0,0-0,3:37,0,0,+0,0,0,0-0,1,0
Jeff Teague,Atlanta,9,0,0,2,4-17,0-0,33:49,0,3,+0,10,1,2-5,2,5
Ivan Johnson,Atlanta,1,0,0,2,2-4,0-0,10:28,1,0,+0,4,0,0-1,3,0
John Jenkins,Atlanta,2,1,0,1,6-9,1-1,24:27,0,3,+0,15,1,2-3,1,3
Mike Scott,Atlanta,1,0,0,1,3-4,0-0,12:00,0,0,+0,6,0,0-0,1,0
Carlos Delfino,Houston,8,0,0,4,8-10,0-0,29:39,0,0,+0,22,1,6-8,4,0
Omer Asik,Houston,0,1,0,17,5-7,1-4,31:57,0,1,+0,11,0,0-0,17,1
James Harden,Houston,5,1,0,1,7-17,12-13,34:10,1,1,+0,28,2,2-6,2,1
Toney Douglas,Houston,3,0,0,1,4-8,1-2,19:43,1,2,+0,10,1,1-3,2,1
Cole Aldrich,Houston,0,0,0,0,0-0,0-0,1:10,0,0,+0,0,0,0-0,0,1
Patrick Patterson,Houston,2,1,0,3,3-5,0-0,19:06,1,1,+0,8,0,2-3,4,0
Jeremy Lin,Houston,8,2,0,4,6-11,3-3,39:53,0,1,+0,16,4,1-3,4,4
Marcus Morris,Houston,3,0,0,3,6-9,0-0,25:49,0,3,+0,15,1,3-4,3,1
Donatas Motiejunas,Houston,0,0,0,0,1-2,0-0,2:14,0,0,+0,3,0,1-1,0,0
Chandler Parsons,Houston,1,0,0,0,2-9,0-0,19:23,0,0,+0,4,1,0-1,0,0
Greg Smith,Houston,0,0,0,3,3-6,0-0,14:42,1,2,+0,6,0,0-0,4,0
Scott Machado,Houston,0,0,0,0,0-0,0-0,2:14,0,0,+0,0,0,0-0,0,0
