Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Millsap,Atlanta,3,2,1,10,8-14,0-2,33:23,1,2,+11,17,0,1-2,11,2
DeMarre Carroll,Atlanta,0,1,0,4,2-3,0-0,25:53,0,4,+12,5,2,1-2,4,2
Pero Antic,Atlanta,1,0,0,5,7-8,1-2,26:47,1,3,+10,18,0,3-4,6,3
Kyle Korver,Atlanta,5,0,0,6,5-7,0-0,35:59,0,2,+21,11,0,1-3,6,1
Jeff Teague,Atlanta,2,0,2,3,9-17,5-5,33:55,0,3,+7,25,0,2-5,3,3
Shelvin Mack,Atlanta,7,0,0,1,4-7,4-4,26:14,0,1,+11,13,1,1-4,1,1
Elton Brand,Atlanta,2,0,0,2,1-3,0-0,22:27,1,5,+6,2,1,0-0,3,1
Cartier Martin,Atlanta,1,0,0,3,2-8,3-4,21:59,2,2,+6,9,0,2-4,5,1
Mike Scott,Atlanta,1,0,0,1,3-6,0-0,13:23,0,4,+11,7,0,1-3,1,1
Paul George,Indiana,2,0,0,6,6-17,5-9,37:47,1,3,-4,18,6,1-5,7,1
David West,Indiana,6,2,0,5,5-10,3-4,37:34,1,3,-3,13,0,0-0,6,0
Roy Hibbert,Indiana,0,0,0,0,0-5,0-0,9:03,0,0,-19,0,0,0-0,0,1
George Hill,Indiana,0,0,1,2,3-10,4-6,37:17,5,4,-13,12,2,2-5,7,2
Lance Stephenson,Indiana,3,0,2,5,1-6,1-2,29:56,0,4,-21,3,0,0-2,5,2
Ian Mahinmi,Indiana,1,0,0,0,3-3,4-6,17:00,1,5,-9,10,0,0-0,1,1
Luis Scola,Indiana,1,0,0,0,4-7,2-2,15:39,0,2,-3,10,1,0-1,0,0
Evan Turner,Indiana,4,0,0,3,3-7,0-0,15:27,0,2,-3,6,0,0-1,3,0
Rasual Butler,Indiana,0,0,0,0,2-3,0-0,12:55,1,1,-10,5,0,1-2,1,1
Donald Sloan,Indiana,0,0,0,1,2-5,0-0,10:38,0,0,-6,4,0,0-2,1,2
Lavoy Allen,Indiana,0,1,0,3,1-2,0-0,10:22,1,1,-8,2,0,0-0,4,1
Chris Copeland,Indiana,1,0,0,0,2-3,0-1,6:22,0,1,+4,5,0,1-2,0,0
