Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeMarre Carroll,Atlanta,0,0,1,1,7-14,2-2,33:42,1,2,+4,19,1,3-6,2,1
Paul Millsap,Atlanta,4,1,1,3,5-12,3-4,33:12,2,3,+5,14,5,1-4,5,2
Pero Antic,Atlanta,1,0,1,3,6-11,1-2,29:45,3,3,+2,16,2,3-5,6,3
Kyle Korver,Atlanta,6,0,0,4,6-7,2-2,34:32,0,4,+2,17,2,3-3,4,2
Jeff Teague,Atlanta,9,0,1,1,3-9,3-4,32:32,0,2,+2,9,1,0-1,1,3
Shelvin Mack,Atlanta,5,0,0,1,2-8,6-6,19:43,0,0,-1,11,1,1-4,1,1
Elton Brand,Atlanta,2,0,0,4,3-3,2-4,18:14,1,2,-3,8,0,0-0,5,1
Mike Scott,Atlanta,0,0,0,0,4-6,1-2,14:48,1,2,-6,10,1,1-2,1,1
Dennis Schroder,Atlanta,2,0,0,1,2-2,0-0,13:28,0,1,-3,4,0,0-0,1,1
Cartier Martin,Atlanta,0,0,0,3,0-4,0-0,10:04,0,1,-7,0,0,0-3,3,0
Blake Griffin,LA Clippers,5,0,1,5,11-19,5-9,37:51,3,5,-1,27,1,0-0,8,7
Matt Barnes,LA Clippers,2,1,0,3,6-12,2-2,33:17,1,2,+2,17,1,3-9,4,4
DeAndre Jordan,LA Clippers,0,1,0,7,6-8,1-2,31:36,5,3,+4,13,2,0-0,12,0
Darren Collison,LA Clippers,4,1,0,2,4-9,3-4,40:48,2,0,+0,12,1,1-5,4,4
Chris Paul,LA Clippers,10,0,0,0,7-14,4-4,35:55,1,4,-1,19,2,1-2,1,2
Danny Granger,LA Clippers,2,0,0,1,3-7,0-0,14:43,0,1,-1,7,0,1-3,1,0
Glen Davis,LA Clippers,0,0,0,4,2-3,0-0,13:56,0,4,-1,4,0,0-0,4,0
Hedo Turkoglu,LA Clippers,1,0,0,0,0-1,0-0,10:10,0,1,+2,0,0,0-0,0,1
Willie Green,LA Clippers,0,0,0,0,1-2,0-0,9:47,0,0,+5,3,0,1-2,0,0
Jamal Crawford,LA Clippers,1,1,0,0,0-2,3-3,9:35,0,1,-2,3,0,0-1,0,0
Ryan Hollins,LA Clippers,1,0,0,0,2-2,0-0,2:22,1,0,-2,4,0,0-0,1,0
