Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeShawn Stevenson,Atlanta,2,0,0,4,1-3,1-2,19:16,0,1,+0,4,2,1-3,4,0
Dahntay Jones,Atlanta,0,0,0,0,0-0,0-0,0:02,0,0,+0,0,0,0-0,0,0
Zaza Pachulia,Atlanta,4,1,0,1,1-1,0-0,20:18,1,4,+0,2,0,0-0,2,0
Kyle Korver,Atlanta,4,2,0,5,6-13,2-2,34:45,0,3,+0,16,0,2-6,5,0
Devin Harris,Atlanta,6,0,0,3,5-9,3-3,24:29,0,1,+0,16,3,3-6,3,0
Josh Smith,Atlanta,7,3,0,6,9-16,0-6,36:18,1,4,+0,19,1,1-4,7,6
Johan Petro,Atlanta,1,2,0,8,3-5,0-0,24:13,0,1,+0,6,4,0-0,8,1
Al Horford,Atlanta,3,0,0,4,12-20,0-0,39:38,1,2,+0,24,3,0-0,5,5
Anthony Tolliver,Atlanta,2,0,0,1,1-2,0-0,14:03,0,1,+0,3,0,1-1,1,0
Jeff Teague,Atlanta,5,0,0,0,3-13,2-2,24:32,0,2,+0,8,0,0-2,0,2
Ivan Johnson,Atlanta,0,0,0,1,0-0,0-0,2:26,0,0,+0,0,0,0-0,1,0
Steve Nash,LA Lakers,10,0,0,2,6-12,2-2,32:56,0,2,+0,15,1,1-2,2,5
Kobe Bryant,LA Lakers,4,0,0,5,13-27,6-8,39:00,1,1,+0,34,2,2-5,6,5
Antawn Jamison,LA Lakers,0,0,0,7,3-7,2-2,34:28,1,1,+0,10,1,2-5,8,2
Metta World Peace,LA Lakers,1,0,0,3,5-8,1-2,28:47,0,4,+0,13,2,2-4,3,1
Steve Blake,LA Lakers,5,0,0,2,3-4,0-0,23:50,0,4,+0,8,1,2-3,2,3
Dwight Howard,LA Lakers,0,1,0,13,5-12,1-2,40:46,2,4,+0,11,2,0-0,15,5
Earl Clark,LA Lakers,1,0,0,4,3-6,0-0,20:13,3,2,+0,7,0,1-1,7,0
Jodie Meeks,LA Lakers,0,0,0,0,0-2,1-2,20:01,0,1,+0,1,0,0-1,0,0
