Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Al Horford,Atlanta,2,0,0,4,5-9,2-4,25:33,3,1,-16,12,0,0-0,7,7
DeMarre Carroll,Atlanta,1,1,0,1,3-6,0-0,22:40,1,3,-18,8,2,2-3,2,0
Gustavo Ayon,Atlanta,0,0,1,4,2-4,0-0,22:04,2,2,-5,4,0,0-0,6,3
Jeff Teague,Atlanta,7,0,1,0,4-13,0-0,26:24,2,4,-20,9,0,1-3,2,3
Kyle Korver,Atlanta,2,1,1,3,3-5,0-0,25:37,0,2,-13,9,0,3-5,3,3
Mike Scott,Atlanta,1,0,0,7,6-10,2-2,27:54,3,1,-15,15,1,1-2,10,2
Shelvin Mack,Atlanta,2,0,0,1,3-7,0-0,25:03,0,3,+2,7,0,1-3,1,1
Cartier Martin,Atlanta,3,0,1,1,1-6,2-2,20:08,0,2,+2,5,1,1-3,1,0
John Jenkins,Atlanta,2,0,0,1,2-5,2-2,18:56,1,2,-1,6,1,0-2,2,1
Pero Antic,Atlanta,1,0,0,3,4-8,2-3,15:17,1,1,+4,12,2,2-3,4,2
Elton Brand,Atlanta,1,1,0,1,0-1,0-0,5:12,0,0,+0,0,0,0-0,1,1
Dennis Schroder,Atlanta,0,0,0,0,0-0,1-2,5:12,0,0,+0,1,1,0-0,0,1
LeBron James,Miami,5,0,1,4,6-13,1-3,30:42,2,0,+14,13,1,0-0,6,3
Shane Battier,Miami,2,1,0,0,3-4,0-0,22:12,0,1,+14,6,0,0-1,0,0
Chris Bosh,Miami,0,1,1,4,8-9,2-3,24:59,1,0,+16,19,1,1-1,5,0
Mario Chalmers,Miami,4,0,0,3,5-9,1-1,27:44,0,1,+14,14,3,3-6,3,3
James Jones,Miami,2,1,0,2,2-5,1-2,15:58,0,0,+9,7,0,2-3,2,0
Rashard Lewis,Miami,3,0,0,1,1-4,0-0,25:48,1,2,+2,2,5,0-2,2,2
Norris Cole,Miami,9,0,1,3,4-12,0-0,25:11,2,1,+9,8,1,0-1,5,2
Ray Allen,Miami,1,0,0,2,5-10,4-5,24:40,1,1,+0,17,1,3-6,3,2
Michael Beasley,Miami,0,1,0,5,3-5,0-0,17:18,0,0,+2,6,0,0-0,5,1
Chris Andersen,Miami,0,0,0,1,0-3,2-4,12:40,2,3,+5,2,1,0-0,3,0
Udonis Haslem,Miami,0,0,0,2,3-4,1-1,7:53,0,6,-5,7,0,0-0,2,1
Joel Anthony,Miami,0,0,0,0,0-1,0-0,2:28,1,1,+0,0,0,0-0,1,1
Roger Mason Jr.,Miami,0,0,0,0,1-2,0-0,2:28,0,1,+0,3,0,1-1,0,0
