Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dahntay Jones,Atlanta,0,0,0,1,0-0,0-0,4:44,0,1,+0,0,0,0-0,1,0
Zaza Pachulia,Atlanta,2,0,0,3,1-5,1-2,20:03,8,4,+0,3,1,0-0,11,0
Kyle Korver,Atlanta,3,1,0,2,2-10,0-0,32:58,0,1,+0,6,1,2-7,2,3
Devin Harris,Atlanta,4,0,0,1,7-11,3-3,38:50,0,0,+0,21,1,4-5,1,1
Josh Smith,Atlanta,5,1,0,12,6-19,1-2,39:17,1,1,+0,15,3,2-6,13,2
Al Horford,Atlanta,3,2,0,10,11-22,1-2,36:35,1,3,+0,23,2,0-1,11,2
Anthony Tolliver,Atlanta,0,0,0,0,1-2,0-0,11:50,0,1,+0,3,0,1-2,0,0
Jeff Teague,Atlanta,9,0,0,2,8-15,5-5,36:38,0,2,+0,23,2,2-3,2,2
John Jenkins,Atlanta,1,0,0,0,3-7,0-0,19:05,0,3,+0,9,0,3-4,0,1
Samuel Dalembert,Milwaukee,1,0,0,5,2-6,0-0,15:40,2,2,+0,4,1,0-0,7,1
Mike Dunleavy,Milwaukee,1,0,0,4,3-8,2-2,20:43,0,1,+0,9,1,1-3,4,1
Ersan Ilyasova,Milwaukee,1,0,0,6,9-15,0-0,28:45,3,3,+0,19,2,1-1,9,3
Monta Ellis,Milwaukee,10,0,0,4,7-15,0-0,43:36,0,0,+0,14,2,0-1,4,4
J.J. Redick,Milwaukee,7,0,0,3,4-9,7-7,35:11,0,0,+0,16,0,1-3,3,2
Luc Richard Mbah a Moute,Milwaukee,0,0,0,1,3-7,0-0,14:34,3,1,+0,6,1,0-0,4,2
Brandon Jennings,Milwaukee,5,0,0,1,4-11,2-2,30:01,1,3,+0,11,1,1-4,2,2
Larry Sanders,Milwaukee,2,1,0,14,5-12,2-4,36:39,5,2,+0,12,0,0-0,19,1
John Henson,Milwaukee,1,1,0,3,4-6,3-5,14:51,3,2,+0,11,0,0-0,6,1
