Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Scott,Atlanta,2,0,0,2,2-6,0-0,29:19,1,3,+0,4,0,0-1,3,3
DeMarre Carroll,Atlanta,2,0,1,5,3-11,2-2,25:32,1,1,-21,9,0,1-5,6,0
Elton Brand,Atlanta,0,0,0,3,3-6,0-0,19:37,0,3,-13,6,0,0-0,3,0
Kyle Korver,Atlanta,3,1,0,2,1-9,3-3,28:01,0,1,-18,5,0,0-5,2,0
Jeff Teague,Atlanta,3,0,0,2,4-12,2-2,25:03,0,0,-18,10,0,0-1,2,1
Shelvin Mack,Atlanta,7,0,1,4,2-11,1-1,29:52,1,0,-7,5,0,0-3,5,0
Cartier Martin,Atlanta,0,0,0,3,7-14,1-2,23:32,3,1,-9,16,3,1-5,6,0
Dennis Schroder,Atlanta,3,0,0,2,2-7,1-3,23:03,0,1,-11,5,0,0-2,2,1
Pero Antic,Atlanta,0,0,0,4,3-5,2-2,16:06,0,2,-3,10,0,2-4,4,3
Mike Muscala,Atlanta,0,1,0,2,2-6,0-0,14:44,2,4,-10,4,1,0-0,4,0
Lou Williams,Atlanta,0,0,0,0,0-1,4-4,5:12,0,1,-10,4,0,0-1,0,0
Nicolas Batum,Portland,1,0,0,17,5-9,1-2,29:18,1,1,+22,14,0,3-5,18,4
LaMarcus Aldridge,Portland,1,2,0,4,1-13,8-8,29:02,2,2,+21,10,0,0-0,6,2
Robin Lopez,Portland,0,0,0,3,4-5,4-4,23:34,2,2,+13,12,1,0-0,5,2
Wesley Matthews,Portland,1,0,1,0,3-8,2-2,28:37,1,2,+24,10,1,2-4,1,0
Damian Lillard,Portland,7,0,0,4,4-9,2-2,24:56,0,2,+18,12,1,2-5,4,1
Mo Williams,Portland,5,0,0,4,6-9,0-0,25:16,0,4,+14,15,0,3-3,4,2
C.J. McCollum,Portland,3,0,0,3,4-9,0-0,21:17,0,2,+3,9,0,1-5,3,1
Meyers Leonard,Portland,4,0,0,6,2-3,0-0,17:25,1,2,+3,4,1,0-0,7,2
Dorell Wright,Portland,1,0,0,4,1-4,2-3,16:19,0,0,+8,5,0,1-3,4,0
Will Barton,Portland,0,0,1,0,4-7,0-0,12:00,0,3,+0,9,0,1-2,0,1
Victor Claver,Portland,0,0,0,1,0-1,0-0,6:08,0,0,-3,0,0,0-1,1,1
Allen Crabbe,Portland,0,0,0,0,1-2,0-0,6:08,0,1,-3,2,0,0-1,0,0
