Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeMarre Carroll,Atlanta,0,0,2,2,3-11,0-0,34:42,0,2,+6,6,1,0-4,2,2
Paul Millsap,Atlanta,4,1,0,8,9-15,5-6,33:40,3,0,+5,25,4,2-3,11,2
Al Horford,Atlanta,1,2,1,5,11-19,4-6,35:16,5,3,+1,27,3,1-1,10,2
Jeff Teague,Atlanta,10,0,0,3,6-12,4-8,33:40,0,2,+6,18,1,2-5,3,4
Kyle Korver,Atlanta,1,1,0,1,3-4,2-2,31:42,0,3,+2,9,0,1-2,1,3
Cartier Martin,Atlanta,2,0,1,3,2-7,4-4,24:51,0,0,+0,9,2,1-3,3,1
Dennis Schroder,Atlanta,7,0,0,2,3-7,0-0,19:05,0,4,+1,6,0,0-1,2,0
Pero Antic,Atlanta,0,1,0,0,2-4,0-0,15:33,1,1,+0,5,0,1-3,1,0
Elton Brand,Atlanta,1,2,0,3,0-2,0-0,11:31,0,0,+4,0,0,0-0,3,0
John Salmons,Sacramento,5,2,1,3,5-11,2-2,34:02,1,2,-5,13,0,1-4,4,3
Patrick Patterson,Sacramento,1,0,0,8,3-6,0-0,30:58,1,4,-3,7,2,1-3,9,3
DeMarcus Cousins,Sacramento,2,1,2,4,5-12,1-2,29:09,2,5,-5,11,0,0-1,6,1
Marcus Thornton,Sacramento,1,0,0,0,5-10,2-2,25:14,0,2,-8,15,3,3-7,0,1
Greivis Vasquez,Sacramento,4,0,0,3,2-5,4-4,19:48,0,4,-7,9,0,1-4,3,4
Isaiah Thomas,Sacramento,5,0,2,0,8-17,9-9,28:12,2,2,+2,26,1,1-4,2,4
Jason Thompson,Sacramento,1,0,0,5,1-4,0-0,23:10,1,3,-6,2,0,0-0,6,1
Ben McLemore,Sacramento,1,0,1,4,6-12,0-0,22:46,2,1,+3,15,2,3-7,6,0
Travis Outlaw,Sacramento,1,1,0,2,0-2,2-2,13:58,1,1,+0,2,0,0-1,3,1
Chuck Hayes,Sacramento,1,0,1,0,0-1,0-0,12:43,0,2,+4,0,2,0-0,0,0
