Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Millsap,Atlanta,3,1,3,10,6-20,1-1,38:19,4,2,+8,15,2,2-6,14,2
DeMarre Carroll,Atlanta,2,0,1,4,7-11,0-0,36:53,4,3,+7,17,2,3-5,8,1
Al Horford,Atlanta,3,0,0,5,9-16,0-0,35:14,2,0,+2,18,2,0-0,7,0
Jeff Teague,Atlanta,7,0,1,3,6-13,4-4,36:42,0,3,-1,19,1,3-4,3,3
Lou Williams,Atlanta,4,1,2,0,5-14,0-0,27:20,0,2,+6,10,1,0-6,0,0
Cartier Martin,Atlanta,0,0,0,1,2-7,0-0,19:56,0,5,-9,6,1,2-5,1,1
Shelvin Mack,Atlanta,2,0,0,0,3-7,0-0,19:43,0,2,-7,7,0,1-2,0,0
Elton Brand,Atlanta,0,0,1,4,3-4,0-0,12:38,0,1,-1,6,1,0-0,4,2
Mike Scott,Atlanta,1,0,0,2,0-1,0-0,9:50,0,1,-13,0,0,0-1,2,1
John Jenkins,Atlanta,0,0,0,0,1-3,0-0,3:26,0,0,-2,2,0,0-2,0,0
Tim Duncan,San Antonio,2,2,0,15,10-15,3-4,34:36,6,0,+1,23,1,0-0,21,3
Kawhi Leonard,San Antonio,1,0,1,5,2-7,0-0,22:20,0,0,-3,4,1,0-2,5,1
Tiago Splitter,San Antonio,3,2,1,4,5-9,1-1,23:54,1,1,-1,11,1,0-0,5,4
Tony Parker,San Antonio,7,0,0,0,7-11,0-0,36:40,0,1,-4,15,0,1-1,0,4
Danny Green,San Antonio,1,1,0,2,1-7,0-0,22:32,2,2,-3,3,0,1-5,4,0
Boris Diaw,San Antonio,3,1,0,2,7-9,1-2,29:53,0,0,+2,16,1,1-2,2,0
Marco Belinelli,San Antonio,3,0,0,4,6-9,0-0,25:02,0,0,+8,13,2,1-2,4,2
Manu Ginobili,San Antonio,7,1,0,4,2-7,5-6,22:51,0,4,-8,10,0,1-4,4,1
Patty Mills,San Antonio,0,0,0,2,2-4,1-2,14:50,0,1,+15,6,0,1-2,2,2
Jeff Ayres,San Antonio,0,1,0,1,0-0,1-2,7:14,0,1,+0,1,0,0-0,1,0
Matt Bonner,San Antonio,0,0,0,0,0-0,0-0,0:09,0,0,+3,0,0,0-0,0,0
