Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
DeShawn Stevenson,Atlanta,0,0,0,3,3-3,1-3,12:51,2,0,+0,8,0,1-1,5,0
Zaza Pachulia,Atlanta,2,0,0,4,0-2,0-0,14:57,1,2,+0,0,2,0-1,5,1
Kyle Korver,Atlanta,2,1,0,6,5-6,3-4,38:37,1,5,+0,16,0,3-4,7,2
Devin Harris,Atlanta,1,0,0,0,3-6,0-0,14:26,0,1,+0,8,1,2-5,0,3
Josh Smith,Atlanta,1,5,0,10,6-12,5-10,42:14,3,4,+0,17,3,0-2,13,3
Lou Williams,Atlanta,1,1,0,2,6-18,10-11,39:56,0,1,+0,24,0,2-7,2,1
Al Horford,Atlanta,6,1,0,10,2-11,1-2,44:05,1,2,+0,5,1,0-0,11,1
Anthony Tolliver,Atlanta,0,0,0,1,2-3,0-0,8:34,0,0,+0,4,0,0-1,1,0
Jeff Teague,Atlanta,6,1,0,3,5-12,2-2,33:20,0,5,+0,13,2,1-2,3,2
Ivan Johnson,Atlanta,1,0,0,1,2-5,1-2,16:00,1,0,+0,5,1,0-1,2,2
Nene Hilario,Washington,6,1,0,4,5-7,8-10,24:00,0,2,+0,18,3,0-0,4,2
Emeka Okafor,Washington,1,0,0,0,3-9,0-0,24:56,2,0,+0,6,0,0-0,2,1
Shaun Livingston,Washington,3,0,0,2,0-1,2-2,14:59,0,0,+0,2,1,0-0,2,2
Earl Barron,Washington,0,4,0,8,2-10,0-0,26:04,6,5,+0,4,1,0-0,14,4
Martell Webster,Washington,2,1,0,2,3-9,4-4,37:26,0,4,+0,11,0,1-4,2,1
Cartier Martin,Washington,0,1,0,2,2-5,0-2,22:00,0,1,+0,4,1,0-1,2,0
Kevin Seraphin,Washington,0,0,0,3,2-6,0-0,19:48,2,5,+0,4,0,0-0,5,1
Jordan Crawford,Washington,11,0,0,9,10-22,2-2,44:23,2,1,+0,27,0,5-10,11,1
Chris Singleton,Washington,1,0,0,2,1-4,0-0,11:12,0,2,+0,2,2,0-0,2,0
Bradley Beal,Washington,4,0,0,2,8-22,1-2,40:12,3,4,+0,17,2,0-3,5,1
