Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Garnett,Boston,4,0,0,9,11-18,2-2,38:28,1,6,+0,24,1,0-0,10,2
Paul Pierce,Boston,4,0,0,4,4-13,4-4,40:26,2,4,+0,12,0,0-5,6,5
Jason Terry,Boston,1,1,0,1,4-6,1-1,21:57,0,0,+0,12,0,3-4,1,1
Jason Collins,Boston,0,0,0,0,0-1,0-0,13:15,0,4,+0,0,0,0-0,0,1
Leandro Barbosa,Boston,0,0,0,0,0-1,0-0,3:29,0,0,+0,0,0,0-0,0,0
Brandon Bass,Boston,1,0,0,2,0-4,0-0,18:49,0,1,+0,0,1,0-0,2,1
Rajon Rondo,Boston,11,0,0,6,8-18,0-0,44:39,4,4,+0,16,1,0-1,10,6
Jeff Green,Boston,0,0,0,5,4-8,8-8,30:28,1,1,+0,17,0,1-2,6,1
Courtney Lee,Boston,4,0,0,5,5-10,5-5,25:37,2,4,+0,16,2,1-4,7,0
Avery Bradley,Boston,1,0,0,1,6-11,0-0,28:42,0,0,+0,14,1,2-3,1,2
Jared Sullinger,Boston,2,0,0,5,0-3,0-0,24:10,0,6,+0,0,2,0-0,5,2
DeShawn Stevenson,Atlanta,0,0,0,1,0-2,1-2,8:14,0,1,+0,1,0,0-2,1,0
Jannero Pargo,Atlanta,5,0,0,2,1-7,0-0,21:47,1,0,+0,2,0,0-4,3,0
Zaza Pachulia,Atlanta,1,0,0,2,1-1,0-0,11:28,1,0,+0,2,0,0-0,3,0
Kyle Korver,Atlanta,4,2,0,5,8-13,3-3,44:21,1,1,+0,27,3,8-12,6,1
Devin Harris,Atlanta,2,1,0,3,4-13,4-4,38:20,0,3,+0,14,2,2-9,3,2
Josh Smith,Atlanta,7,2,0,9,7-20,3-9,46:55,5,2,+0,17,0,0-3,14,2
Al Horford,Atlanta,3,0,0,10,7-15,10-11,51:04,3,5,+0,24,2,0-0,13,2
Jeff Teague,Atlanta,7,1,0,4,8-11,5-6,40:14,0,6,+0,23,3,2-3,4,2
Ivan Johnson,Atlanta,1,0,0,1,5-8,1-1,18:01,0,2,+0,11,0,0-1,1,1
John Jenkins,Atlanta,0,0,0,0,1-4,0-0,5:40,1,0,+0,2,0,0-2,1,1
Mike Scott,Atlanta,1,0,0,0,0-0,0-0,3:56,0,1,+0,0,0,0-0,0,1
