Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,2,0,1,2,6-15,3-3,32:00,0,1,-22,16,2,1-4,2,0
Brandon Bass,Boston,0,0,0,0,4-8,1-2,25:05,4,0,-16,9,0,0-0,4,3
Kris Humphries,Boston,0,1,0,3,4-11,4-4,24:04,5,1,-16,12,1,0-0,8,2
Rajon Rondo,Boston,12,0,1,3,3-10,5-6,36:15,1,1,-18,12,0,1-3,4,0
Avery Bradley,Boston,1,1,1,4,12-19,0-0,34:51,0,4,-6,28,1,4-9,4,1
Jerryd Bayless,Boston,2,0,0,0,2-4,0-0,23:14,1,2,-3,6,1,2-4,1,2
Jared Sullinger,Boston,2,0,0,4,2-6,4-6,22:51,0,3,+0,8,1,0-3,4,2
Kelly Olynyk,Boston,0,0,0,3,1-5,2-2,16:03,1,6,-6,4,0,0-1,4,1
Chris Johnson,Boston,0,0,0,1,0-2,0-0,10:05,0,0,+1,0,1,0-2,1,0
Joel Anthony,Boston,0,1,0,5,0-1,0-0,7:56,0,0,+6,0,0,0-0,5,0
Phil Pressey,Boston,1,0,0,0,0-1,0-0,6:03,0,0,-2,0,0,0-0,0,0
Chris Babb,Boston,0,0,0,0,1-1,0-0,1:33,0,0,+2,3,0,1-1,0,0
Joe Johnson,Brooklyn,4,0,0,2,10-16,1-1,30:18,0,2,+20,27,0,6-8,2,0
Paul Pierce,Brooklyn,0,0,1,3,6-10,1-1,18:59,0,2,+9,14,0,1-3,3,1
Mason Plumlee,Brooklyn,3,0,0,2,6-7,6-6,20:54,3,2,+15,18,3,0-0,5,2
Deron Williams,Brooklyn,6,0,0,1,2-4,1-2,25:11,0,2,+18,6,1,1-1,1,2
Shaun Livingston,Brooklyn,6,1,0,6,1-1,2-2,21:26,1,2,-2,4,0,0-0,7,0
Andray Blatche,Brooklyn,1,0,1,2,4-10,2-3,21:35,2,1,+2,10,0,0-0,4,2
Mirza Teletovic,Brooklyn,2,1,0,1,3-6,1-3,20:50,0,2,+3,7,0,0-1,1,0
Marcus Thornton,Brooklyn,3,0,0,6,3-9,2-2,18:21,0,1,-1,9,2,1-3,6,1
Jorge Gutierrez,Brooklyn,1,1,0,2,5-6,0-0,18:16,1,2,+3,10,0,0-0,3,1
Andrei Kirilenko,Brooklyn,1,0,0,2,3-4,0-2,17:14,0,0,+6,6,0,0-0,2,1
Alan Anderson,Brooklyn,1,0,1,4,0-2,0-0,17:05,0,1,+9,0,0,0-1,4,1
Jason Collins,Brooklyn,2,0,0,0,1-1,0-0,5:31,0,0,-1,2,0,0-0,0,0
Marquis Teague,Brooklyn,0,0,0,1,0-2,1-2,4:20,0,0,-1,1,0,0-0,1,0
