Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brandon Bass,Boston,0,1,0,1,7-10,2-2,38:12,4,2,-9,16,0,0-0,5,1
Jeff Green,Boston,0,1,0,6,5-16,2-2,36:17,1,2,+0,13,1,1-4,7,3
Jared Sullinger,Boston,2,1,2,6,2-9,1-2,28:29,2,3,+5,5,1,0-3,8,2
Jordan Crawford,Boston,5,0,0,4,5-11,7-7,27:59,0,2,-4,21,0,4-6,4,2
Avery Bradley,Boston,1,0,0,1,1-6,0-0,8:42,0,4,-6,2,0,0-0,1,1
Gerald Wallace,Boston,3,1,0,3,6-10,4-7,35:44,1,3,+8,17,2,1-2,4,1
Phil Pressey,Boston,8,0,0,1,1-2,0-0,20:01,0,1,+14,2,3,0-0,1,0
Kris Humphries,Boston,0,1,1,3,2-4,0-0,16:20,2,1,+17,4,0,0-0,5,0
Courtney Lee,Boston,2,0,0,1,4-7,1-1,15:17,1,2,+18,11,1,2-4,2,0
Vitor Faverani,Boston,1,0,0,2,2-5,0-0,12:59,0,4,+7,5,0,1-1,2,1
Josh McRoberts,Charlotte,5,1,0,4,2-6,0-0,33:41,3,2,+11,5,1,1-2,7,0
Michael Kidd-Gilchrist,Charlotte,0,0,1,3,2-4,0-0,16:33,1,2,-1,4,0,0-0,4,2
Al Jefferson,Charlotte,1,2,1,2,6-14,2-2,32:52,1,1,-1,14,0,0-0,3,2
Gerald Henderson,Charlotte,1,0,0,5,7-17,6-6,36:45,0,0,+10,20,1,0-2,5,2
Kemba Walker,Charlotte,5,0,2,4,11-17,5-6,34:02,2,2,+10,28,0,1-2,6,3
Jeffery Taylor,Charlotte,0,0,1,3,3-6,0-0,27:19,0,4,-22,7,0,1-2,3,1
Ramon Sessions,Charlotte,3,0,0,0,1-7,3-4,18:43,0,0,-18,5,0,0-1,0,4
Jeff Adrien,Charlotte,0,0,0,2,0-0,1-2,15:08,1,1,-9,1,0,0-0,3,1
Cody Zeller,Charlotte,1,0,0,3,1-3,0-0,14:19,0,1,-21,2,0,0-0,3,1
Anthony Tolliver,Charlotte,1,0,0,2,0-0,0-0,10:38,1,2,-9,0,0,0-0,3,0
