Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Garnett,Boston,4,0,0,7,6-14,0-2,31:25,2,3,+0,12,2,0-0,9,1
Paul Pierce,Boston,6,0,0,5,2-14,5-5,34:57,1,6,+0,10,0,1-5,6,2
Jason Terry,Boston,3,0,0,1,2-5,2-2,26:34,0,1,+0,7,0,1-3,1,0
Jason Collins,Boston,0,0,0,2,0-1,1-2,11:31,2,1,+0,1,0,0-0,4,1
Chris Wilcox,Boston,1,0,0,1,1-1,0-0,10:22,1,0,+0,2,0,0-0,2,0
Brandon Bass,Boston,2,0,0,9,3-7,0-0,29:01,0,0,+0,6,1,0-0,9,1
Jeff Green,Boston,2,2,0,1,8-12,2-2,33:16,1,5,+0,20,1,2-4,2,2
Courtney Lee,Boston,4,0,0,2,6-9,1-1,29:48,1,4,+0,15,2,2-4,3,2
Avery Bradley,Boston,0,0,0,3,7-16,2-2,32:56,0,4,+0,17,0,1-4,3,3
Fab Melo,Boston,0,0,0,0,0-0,0-0,0:10,0,0,+0,0,0,0-0,0,0
Andre Miller,Denver,2,1,0,1,4-6,2-3,23:00,0,2,+0,11,0,1-1,1,3
Andre Iguodala,Denver,7,1,0,3,0-7,1-4,28:46,0,2,+0,1,2,0-1,3,1
Corey Brewer,Denver,0,0,0,2,4-10,2-2,20:15,1,1,+0,10,2,0-1,3,1
Wilson Chandler,Denver,0,0,0,6,0-6,0-0,17:32,1,1,+0,0,0,0-3,7,0
Danilo Gallinari,Denver,5,0,0,4,7-17,8-11,39:08,1,4,+0,26,1,4-9,5,1
JaVale McGee,Denver,0,0,0,2,2-5,1-1,17:48,0,1,+0,5,0,0-0,2,0
Kosta Koufos,Denver,0,0,0,1,5-6,1-1,21:37,1,2,+0,11,0,0-0,2,1
Ty Lawson,Denver,6,0,0,5,8-13,8-10,37:13,1,1,+0,26,1,2-5,6,0
Kenneth Faried,Denver,1,1,0,11,3-7,1-4,34:41,5,3,+0,7,1,0-0,16,0
