Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,3,0,0,4,8-21,4-4,41:24,0,3,-5,23,0,3-10,4,3
Brandon Bass,Boston,1,0,0,2,6-8,6-8,33:41,4,3,-8,18,1,0-0,6,2
Jared Sullinger,Boston,5,1,1,4,9-20,0-0,35:34,6,4,+6,22,0,4-6,10,2
Jerryd Bayless,Boston,3,0,0,3,10-19,0-0,40:48,1,3,+0,25,0,5-6,4,2
Phil Pressey,Boston,11,0,0,1,5-8,0-0,36:26,1,5,+9,12,2,2-4,2,1
Kelly Olynyk,Boston,2,2,0,7,4-6,3-4,24:08,2,3,-4,11,0,0-1,9,0
Chris Babb,Boston,0,0,0,1,0-4,0-0,13:51,1,2,+0,0,5,0-3,2,0
Chris Johnson,Boston,0,0,0,0,0-2,0-0,11:32,0,1,-16,0,0,0-1,0,1
Joel Anthony,Boston,0,0,0,0,0-0,0-0,2:37,0,0,-2,0,0,0-0,0,0
Greg Monroe,Detroit,2,0,0,4,8-12,5-5,31:28,3,1,-14,21,0,0-0,7,0
Josh Smith,Detroit,3,0,0,0,4-9,1-2,26:58,0,2,-12,11,0,2-5,0,4
Andre Drummond,Detroit,0,1,0,13,9-11,1-2,40:20,7,2,+11,19,0,0-0,20,2
Kyle Singler,Detroit,0,0,0,1,0-5,6-6,37:07,2,2,+12,6,2,0-2,3,0
Brandon Jennings,Detroit,3,0,1,2,6-15,4-5,33:24,1,1,-2,20,0,4-8,3,2
Rodney Stuckey,Detroit,4,0,1,4,8-17,10-12,32:16,0,2,+13,26,1,0-2,4,4
Jonas Jerebko,Detroit,1,0,0,5,2-6,0-0,16:23,0,3,+16,6,1,2-4,5,1
Peyton Siva,Detroit,5,0,1,1,0-3,3-4,14:36,0,2,+6,3,2,0-1,1,0
Kentavious Caldwell-Pope,Detroit,0,0,0,0,1-1,0-0,7:28,0,1,-10,3,0,1-1,0,0
