Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Garnett,Boston,2,1,0,4,6-12,2-2,27:00,1,3,+0,14,1,0-0,5,1
Paul Pierce,Boston,3,0,0,7,5-18,6-8,40:33,0,2,+0,18,3,2-6,7,1
Jason Terry,Boston,0,0,0,1,4-10,0-0,25:44,0,3,+0,12,3,4-8,1,2
Chris Wilcox,Boston,0,0,0,2,2-3,0-0,14:52,0,2,+0,4,0,0-0,2,0
Leandro Barbosa,Boston,2,0,0,2,0-1,0-0,6:28,0,0,+0,0,0,0-0,2,0
Brandon Bass,Boston,1,1,0,4,1-3,0-0,22:33,0,1,+0,2,0,0-0,4,0
Rajon Rondo,Boston,13,1,0,3,6-13,3-3,36:28,1,1,+0,15,4,0-2,4,7
Jeff Green,Boston,0,0,0,4,4-11,0-0,24:37,3,1,+0,9,2,1-2,7,1
Courtney Lee,Boston,0,1,0,3,3-7,1-2,27:20,0,2,+0,8,2,1-2,3,0
Jared Sullinger,Boston,1,1,0,2,3-7,1-2,14:25,4,1,+0,7,0,0-0,6,0
Carlos Delfino,Houston,2,0,0,0,3-6,0-0,22:39,0,1,+0,9,0,3-5,0,5
Omer Asik,Houston,0,2,0,8,4-7,1-2,26:14,2,2,+0,9,0,0-0,10,1
James Harden,Houston,5,0,0,5,6-17,7-8,38:22,0,1,+0,21,3,2-7,5,1
Toney Douglas,Houston,0,1,0,2,4-9,1-1,24:30,0,2,+0,11,1,2-3,2,0
Patrick Patterson,Houston,1,0,0,3,4-8,0-0,25:21,0,3,+0,9,0,1-2,3,2
Jeremy Lin,Houston,7,2,0,3,2-6,0-0,27:04,0,2,+0,5,1,1-3,3,3
Marcus Morris,Houston,0,0,0,6,1-7,0-0,16:43,1,0,+0,2,0,0-4,7,1
Chandler Parsons,Houston,8,0,0,7,5-7,4-6,37:21,2,2,+0,15,2,1-3,9,2
Greg Smith,Houston,0,3,0,4,8-9,4-6,21:46,2,3,+0,20,0,0-0,6,2
