Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,1,1,1,6,5-15,0-0,36:51,0,3,-11,12,0,2-7,6,3
Jared Sullinger,Boston,1,0,2,3,4-14,4-4,28:58,8,3,+5,12,2,0-5,11,2
Kris Humphries,Boston,2,0,0,9,7-10,0-0,28:36,4,4,-1,14,1,0-0,13,2
Rajon Rondo,Boston,5,0,1,3,0-8,1-4,25:43,0,1,-7,1,1,0-3,3,3
Avery Bradley,Boston,0,0,0,1,0-3,3-3,7:23,0,1,-7,3,0,0-1,1,1
Gerald Wallace,Boston,2,0,0,2,3-9,1-1,26:49,0,1,-3,8,0,1-4,2,2
Chris Johnson,Boston,1,0,0,1,4-7,1-1,24:57,2,1,+7,11,1,2-5,3,0
Phil Pressey,Boston,3,0,0,0,1-3,0-0,22:17,0,1,+0,2,1,0-2,0,1
Brandon Bass,Boston,2,1,0,1,5-7,5-5,18:15,2,1,-10,15,1,0-0,3,2
Kelly Olynyk,Boston,0,0,1,0,3-7,0-0,13:02,1,3,-7,6,1,0-0,1,0
Joel Anthony,Boston,0,1,0,3,1-1,0-0,7:09,0,0,-1,2,0,0-0,3,0
LeBron James,Miami,4,0,0,7,10-19,9-11,38:48,1,1,+10,29,2,0-4,8,3
Shane Battier,Miami,2,1,0,1,2-5,0-0,21:27,0,1,+9,4,0,0-2,1,0
Chris Bosh,Miami,0,1,1,6,7-10,0-0,34:20,0,1,+6,16,0,2-3,6,2
Mario Chalmers,Miami,6,1,2,1,4-8,0-1,33:57,1,2,-2,8,0,0-1,2,2
Ray Allen,Miami,4,0,0,3,3-7,0-0,33:02,1,2,+13,7,0,1-4,4,1
Norris Cole,Miami,6,0,0,0,1-7,0-0,28:57,0,3,+0,2,3,0-3,0,4
Chris Andersen,Miami,0,1,0,4,5-5,3-4,24:36,3,1,+3,13,1,0-0,7,2
Michael Beasley,Miami,0,0,0,2,4-6,0-0,12:53,0,4,-1,9,1,1-1,2,0
Rashard Lewis,Miami,0,0,0,2,1-4,0-0,6:26,0,1,-2,3,0,1-2,2,0
Greg Oden,Miami,0,1,0,0,1-3,0-0,5:34,1,2,-1,2,0,0-0,1,0
