Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,3,1,0,1,11-22,6-7,44:08,0,1,+10,29,2,1-6,1,3
Brandon Bass,Boston,0,1,1,5,5-10,2-2,26:47,2,2,+3,12,1,0-0,7,1
Jared Sullinger,Boston,2,4,1,7,6-13,1-2,33:21,3,3,+5,13,1,0-2,10,2
Gerald Wallace,Boston,4,0,0,1,3-3,1-2,27:47,2,1,-3,8,3,1-1,3,2
Phil Pressey,Boston,6,0,1,2,5-10,0-0,24:09,0,5,+2,13,1,3-4,2,3
Chris Johnson,Boston,1,0,1,3,2-5,0-0,24:05,1,3,+25,5,0,1-2,4,0
Jerryd Bayless,Boston,6,0,0,1,2-10,0-0,23:51,1,2,+14,4,0,0-3,2,0
Kelly Olynyk,Boston,3,0,0,7,6-11,1-1,21:13,4,2,+13,14,0,1-2,11,3
Kris Humphries,Boston,0,0,0,2,2-4,0-0,14:39,1,3,+11,4,0,0-0,3,1
John Henson,Milwaukee,2,2,0,3,8-12,0-0,37:29,0,5,-7,16,0,0-0,3,5
Khris Middleton,Milwaukee,1,0,0,5,2-6,3-4,26:39,0,4,+0,8,1,1-3,5,2
Zaza Pachulia,Milwaukee,4,0,3,3,3-8,2-2,31:52,5,3,-3,8,2,0-0,8,3
Brandon Knight,Milwaukee,4,0,2,5,7-18,6-8,40:42,0,1,-7,22,0,2-4,5,5
Nate Wolters,Milwaukee,3,1,0,4,2-9,2-4,36:29,2,2,-5,7,2,1-3,6,0
Giannis Antetokounmpo,Milwaukee,0,0,0,4,1-5,1-2,26:13,0,1,-20,4,0,1-2,4,1
Gary Neal,Milwaukee,2,0,0,1,6-11,4-5,18:55,0,0,-17,17,0,1-4,1,1
Ekpe Udoh,Milwaukee,1,1,0,1,0-0,0-0,14:30,0,2,-13,0,0,0-0,1,2
Miroslav Raduljica,Milwaukee,0,0,1,2,2-3,0-0,7:11,1,1,-8,4,0,0-0,3,0
