Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Garnett,Boston,2,0,0,8,6-11,7-7,37:43,2,2,+0,19,3,0-0,10,1
Paul Pierce,Boston,6,0,0,3,10-18,0-0,27:32,0,5,+0,23,1,3-9,3,1
Jason Terry,Boston,5,0,0,2,1-7,0-0,30:40,2,3,+0,2,0,0-3,4,2
Leandro Barbosa,Boston,3,0,0,0,3-3,2-3,13:10,0,0,+0,8,0,0-0,0,0
Brandon Bass,Boston,0,0,0,2,3-3,0-0,31:49,1,1,+0,6,0,0-0,3,1
Jeff Green,Boston,3,0,0,5,5-10,5-6,26:57,1,2,+0,16,0,1-1,6,1
Courtney Lee,Boston,2,0,0,2,2-6,0-0,19:58,0,1,+0,5,3,1-2,2,2
Avery Bradley,Boston,5,0,0,2,6-11,0-0,32:58,1,5,+0,13,1,1-3,3,1
Jared Sullinger,Boston,0,1,0,3,3-5,4-4,19:13,2,2,+0,10,0,0-0,5,1
Jason Kidd,New York,6,0,0,1,3-5,0-0,33:17,2,2,+0,8,1,2-3,3,3
Marcus Camby,New York,0,1,0,4,2-4,0-0,9:53,3,0,+0,4,1,0-0,7,1
Tyson Chandler,New York,1,0,0,9,4-6,5-6,40:44,8,3,+0,13,0,0-0,17,1
Amar'e Stoudemire,New York,2,1,0,2,4-6,5-6,27:50,0,1,+0,13,0,0-0,2,0
Carmelo Anthony,New York,5,0,0,3,6-26,4-7,36:51,0,5,+0,20,1,4-12,3,2
J.R. Smith,New York,4,1,0,3,7-18,6-7,38:34,0,3,+0,24,2,4-9,3,1
Ronnie Brewer,New York,1,0,0,1,1-4,0-0,18:20,0,2,+0,3,1,1-3,1,1
James White,New York,0,0,0,0,0-0,0-0,0:04,0,0,+0,0,0,0-0,0,0
Steve Novak,New York,0,0,0,2,3-4,0-0,16:06,0,4,+0,9,0,3-3,2,0
Chris Copeland,New York,0,0,0,1,0-0,0-0,3:34,0,0,+0,0,1,0-0,1,0
Pablo Prigioni,New York,0,0,0,2,1-3,0-0,14:47,1,1,+0,2,0,0-2,3,4
