Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brandon Bass,Boston,1,1,1,4,6-14,4-4,36:40,3,3,+0,16,0,0-0,7,0
Jeff Green,Boston,3,0,0,2,5-14,0-1,31:51,1,0,+10,10,2,0-3,3,0
Vitor Faverani,Boston,1,0,0,3,1-4,0-0,16:31,2,2,+2,3,0,1-2,5,1
Jordan Crawford,Boston,5,0,1,2,5-13,3-3,30:36,1,1,+11,13,1,0-2,3,2
Avery Bradley,Boston,1,1,1,5,5-13,3-4,28:53,3,1,+6,14,3,1-2,8,2
Kelly Olynyk,Boston,0,0,0,2,4-13,0-0,22:15,4,5,+1,8,0,0-1,6,3
Gerald Wallace,Boston,3,0,0,6,1-3,0-0,19:52,0,5,-13,2,1,0-2,6,2
Jared Sullinger,Boston,4,2,1,3,2-8,7-8,19:32,3,2,-1,11,0,0-1,6,1
Courtney Lee,Boston,0,1,0,2,5-9,3-4,17:24,2,2,-7,13,2,0-0,4,0
Phil Pressey,Boston,1,0,0,2,0-4,1-2,15:35,0,2,-2,1,2,0-1,2,0
Kris Humphries,Boston,0,0,0,0,0-0,0-0,0:52,0,1,+3,0,0,0-0,0,0
Maurice Harkless,Orlando,2,1,0,3,1-4,2-3,31:16,2,1,-1,4,0,0-1,5,0
Jason Maxiell,Orlando,2,1,0,3,4-6,1-5,27:06,2,4,-4,9,1,0-0,5,0
Nikola Vucevic,Orlando,1,1,0,8,6-12,2-4,36:05,5,3,-8,14,0,0-0,13,4
Jameer Nelson,Orlando,7,0,1,3,4-15,2-2,36:01,0,3,+3,12,1,2-9,3,7
Arron Afflalo,Orlando,1,0,1,5,8-15,5-6,34:03,0,5,+3,23,0,2-5,5,3
Victor Oladipo,Orlando,3,0,3,3,3-12,3-4,23:16,1,4,-6,9,1,0-3,4,3
Andrew Nicholson,Orlando,0,0,0,9,2-6,2-2,20:54,2,2,+2,6,0,0-1,11,1
E'Twaun Moore,Orlando,3,0,0,1,3-7,1-1,19:24,0,0,-5,7,0,0-1,1,0
Kyle O'Quinn,Orlando,0,1,0,5,2-6,1-2,11:55,4,2,+6,5,1,0-0,9,2
