Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,0,2,0,1,2-11,0-0,19:42,0,0,+0,4,0,0-4,1,1
Kris Humphries,Boston,2,0,0,1,2-6,0-0,14:34,1,3,+0,4,2,0-0,2,1
Kelly Olynyk,Boston,1,1,0,1,6-16,0-0,25:26,1,4,+0,13,3,1-4,2,2
Jordan Crawford,Boston,3,0,0,2,3-6,4-4,23:09,0,2,+0,12,1,2-4,2,1
Avery Bradley,Boston,2,0,0,1,2-5,0-0,22:39,1,4,+0,4,3,0-2,2,2
Gerald Wallace,Boston,3,0,0,4,2-7,4-6,27:02,0,0,+0,9,0,1-4,4,3
Brandon Bass,Boston,2,1,0,5,2-8,1-2,24:50,5,1,+0,5,1,0-0,10,1
Courtney Lee,Boston,2,0,0,3,2-6,0-0,24:00,1,3,+0,4,3,0-1,4,0
Jared Sullinger,Boston,1,0,0,6,7-15,5-7,23:14,3,3,+0,19,1,0-1,9,3
Phil Pressey,Boston,5,0,0,3,1-2,4-4,18:09,1,3,+0,6,2,0-0,4,1
Keith Bogans,Boston,0,0,0,0,0-0,0-0,6:47,0,1,+0,0,0,0-0,0,0
Vitor Faverani,Boston,0,0,0,1,1-2,0-0,5:24,1,0,+0,2,0,0-0,2,0
Chris Babb,Boston,0,0,0,0,0-0,0-0,1:16,0,0,+0,0,0,0-0,0,0
Damen Bell-Holter,Boston,0,0,0,0,0-0,0-0,1:16,1,0,+0,0,0,0-0,1,1
DeShawn Sims,Boston,0,0,0,0,1-1,0-0,1:16,0,0,+0,3,0,1-1,0,0
Kammron Taylor,Boston,0,0,0,0,0-1,0-0,1:16,0,0,+0,0,0,0-0,0,0
Evan Turner,Philadelphia,3,0,0,9,5-11,2-2,30:19,0,2,+0,12,0,0-1,9,5
Thaddeus Young,Philadelphia,0,0,0,4,9-15,2-6,30:17,2,3,+0,20,3,0-1,6,5
Spencer Hawes,Philadelphia,2,2,0,6,5-9,4-6,27:13,1,2,+0,17,2,3-4,7,2
Michael Carter-Williams,Philadelphia,6,0,0,4,3-6,0-0,30:07,2,2,+0,6,1,0-1,6,0
James Anderson,Philadelphia,1,0,0,5,6-10,2-2,24:26,1,0,+0,16,1,2-4,6,1
Tony Wroten,Philadelphia,6,0,0,1,1-6,2-4,22:22,0,1,+0,4,1,0-3,1,3
Darius Morris,Philadelphia,4,0,0,0,1-4,0-0,18:16,2,0,+0,2,2,0-0,2,1
Lavoy Allen,Philadelphia,0,1,0,6,1-2,0-0,16:05,3,1,+0,2,0,0-0,9,2
Vander Blue,Philadelphia,1,0,0,0,3-4,2-3,14:21,1,0,+0,8,2,0-0,1,2
Royce White,Philadelphia,0,0,0,3,2-6,1-2,9:40,0,5,+0,5,1,0-1,3,2
Mac Koshwal,Philadelphia,0,0,0,2,0-0,0-0,6:38,0,2,+0,0,0,0-0,2,1
Gani Lawal,Philadelphia,0,1,0,0,1-2,0-1,6:07,2,3,+0,2,0,0-0,2,1
Khalif Wyatt,Philadelphia,0,0,0,0,1-2,1-1,4:09,0,0,+0,3,0,0-1,0,0
