Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jeff Green,Boston,0,0,0,5,5-12,6-6,35:08,0,0,-11,17,1,1-6,5,0
Brandon Bass,Boston,0,2,2,7,7-12,4-4,32:46,1,2,+4,18,1,0-0,8,3
Jared Sullinger,Boston,1,2,0,4,5-13,0-1,26:22,4,4,+5,11,0,1-3,8,1
Rajon Rondo,Boston,10,0,3,5,7-22,4-5,35:33,2,2,+16,18,0,0-2,7,3
Gerald Wallace,Boston,2,1,0,2,3-5,3-4,34:21,1,4,+8,9,4,0-1,3,2
Kelly Olynyk,Boston,3,1,1,3,3-10,0-0,24:22,3,5,+0,7,1,1-3,6,1
Chris Johnson,Boston,0,0,0,1,2-3,1-2,17:15,0,1,-10,7,0,2-2,1,0
Jerryd Bayless,Boston,2,0,0,4,0-2,2-2,15:30,0,3,-15,2,0,0-0,4,1
Kris Humphries,Boston,0,0,0,1,2-6,1-4,11:39,2,3,-20,5,0,0-0,3,2
Phil Pressey,Boston,0,0,0,1,0-2,0-0,7:04,0,0,-7,0,1,0-0,1,1
P.J. Tucker,Phoenix,6,0,2,8,4-11,2-4,36:18,3,6,+12,10,3,0-2,11,0
Channing Frye,Phoenix,2,1,0,7,4-7,3-4,34:41,0,3,-2,15,0,4-6,7,2
Miles Plumlee,Phoenix,0,3,0,6,2-6,0-0,19:50,2,4,-10,4,1,0-0,8,4
Gerald Green,Phoenix,1,0,0,4,6-14,3-4,34:01,1,3,-3,17,0,2-5,5,5
Goran Dragic,Phoenix,6,2,1,2,6-13,3-6,32:55,2,1,-3,17,0,2-5,4,3
Markieff Morris,Phoenix,1,0,1,4,7-12,4-4,29:29,0,2,+12,18,0,0-2,4,1
Marcus Morris,Phoenix,1,0,0,2,4-8,1-2,21:31,0,2,+6,11,0,2-5,2,1
Ish Smith,Phoenix,5,0,2,1,1-6,0-0,17:05,2,1,+15,2,1,0-0,3,1
Leandro Barbosa,Phoenix,1,0,0,1,1-3,1-2,7:23,0,1,-3,4,0,1-3,1,1
Alex Len,Phoenix,0,0,0,1,1-2,0-0,6:47,0,0,+6,2,0,0-0,1,0
