Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Garnett,Boston,1,1,0,9,5-9,3-3,35:55,1,5,+0,13,1,0-0,10,2
Paul Pierce,Boston,8,0,0,7,10-20,3-4,39:16,0,5,+0,26,0,3-10,7,4
Jason Terry,Boston,2,0,0,1,5-13,0-0,22:39,1,2,+0,14,0,4-9,2,1
Chris Wilcox,Boston,0,2,0,2,1-2,0-0,21:10,0,3,+0,2,3,0-0,2,0
Brandon Bass,Boston,0,2,0,2,4-10,7-7,41:44,1,1,+0,15,0,0-0,3,1
Jeff Green,Boston,1,0,0,1,3-10,0-0,27:53,0,1,+0,6,1,0-3,1,1
Courtney Lee,Boston,3,0,0,3,4-8,5-6,32:32,2,4,+0,14,1,1-2,5,2
Avery Bradley,Boston,4,0,0,3,8-12,0-0,39:10,2,3,+0,18,2,2-3,5,1
Jordan Crawford,Boston,0,0,0,1,1-2,0-0,4:41,1,0,+0,2,0,0-0,2,0
Earl Watson,Utah,2,1,0,0,1-3,0-0,20:16,2,1,+0,2,0,0-0,2,4
Al Jefferson,Utah,3,1,0,9,6-11,3-4,38:38,2,0,+0,15,1,0-0,11,1
Marvin Williams,Utah,3,1,0,1,5-10,3-4,26:09,1,2,+0,15,0,2-2,2,0
Randy Foye,Utah,0,0,0,3,2-8,0-0,16:47,0,1,+0,6,0,2-6,3,0
Paul Millsap,Utah,5,2,0,4,7-12,2-2,36:19,2,2,+0,16,1,0-0,6,1
DeMarre Carroll,Utah,3,0,0,2,3-7,2-2,26:41,2,4,+0,8,0,0-1,4,0
Derrick Favors,Utah,1,0,0,3,2-4,3-3,18:48,3,5,+0,7,2,0-0,6,4
Gordon Hayward,Utah,3,1,0,2,7-16,8-9,36:26,0,1,+0,26,1,4-7,2,0
Alec Burks,Utah,3,0,0,4,4-10,0-0,32:44,1,1,+0,8,1,0-1,5,3
Enes Kanter,Utah,0,0,0,1,2-7,0-0,12:12,2,2,+0,4,0,0-0,3,0
