Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,5,0,0,5,5-10,0-0,37:16,0,4,+0,11,1,1-4,5,5
Gerald Wallace,Brooklyn,2,1,0,4,3-7,1-3,33:02,0,3,+0,8,3,1-1,4,4
Reggie Evans,Brooklyn,0,0,0,6,0-2,0-0,17:55,4,1,+0,0,2,0-0,10,4
Keith Bogans,Brooklyn,0,0,0,1,0-0,0-0,15:27,0,2,+0,0,0,0-0,1,0
Kris Humphries,Brooklyn,0,0,0,0,0-1,0-0,2:16,0,0,+0,0,0,0-0,0,1
Deron Williams,Brooklyn,6,0,0,2,4-12,5-5,36:14,0,3,+0,14,0,1-5,2,3
Andray Blatche,Brooklyn,2,0,0,3,4-10,5-6,22:49,1,0,+0,13,4,0-1,4,1
C.J. Watson,Brooklyn,1,0,0,1,3-7,0-0,19:48,1,1,+0,7,1,1-2,2,2
Brook Lopez,Brooklyn,1,3,0,2,9-16,4-5,34:18,1,1,+0,22,1,0-0,3,0
MarShon Brooks,Brooklyn,1,0,0,0,0-0,0-2,8:42,0,2,+0,0,0,0-0,0,1
Tyshawn Taylor,Brooklyn,0,0,0,0,0-0,1-2,1:43,0,0,+0,1,0,0-0,0,0
Mirza Teletovic,Brooklyn,1,0,0,2,4-7,0-0,10:30,1,3,+0,9,0,1-2,3,0
Nazr Mohammed,Chicago,0,0,0,2,0-0,0-0,4:11,0,3,+0,0,0,0-0,2,0
Carlos Boozer,Chicago,3,1,0,8,9-16,2-2,31:33,0,4,+0,20,5,0-0,8,4
Kirk Hinrich,Chicago,4,0,0,1,5-8,0-0,38:54,0,4,+0,12,0,2-3,1,2
Luol Deng,Chicago,3,2,0,3,3-10,2-2,44:12,2,2,+0,8,3,0-2,5,4
Nate Robinson,Chicago,4,0,0,1,4-9,2-2,18:47,0,2,+0,12,0,2-5,1,3
Joakim Noah,Chicago,5,4,0,6,10-13,1-1,41:13,4,3,+0,21,2,0-1,10,5
Marco Belinelli,Chicago,4,0,0,3,2-7,2-2,30:46,0,5,+0,7,0,1-2,3,1
Daequan Cook,Chicago,0,0,0,2,1-3,0-0,7:33,0,1,+0,3,0,1-1,2,0
Jimmy Butler,Chicago,2,0,0,2,4-7,5-5,22:51,0,0,+0,13,1,0-1,2,0
