Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Marcus Thornton,Brooklyn,3,0,0,4,6-19,4-5,41:49,2,1,-34,20,2,4-12,6,3
Andray Blatche,Brooklyn,3,0,1,11,8-18,3-3,39:16,1,3,-36,20,2,1-4,12,2
Jason Collins,Brooklyn,0,0,0,2,3-8,2-2,38:52,1,3,-18,8,2,0-2,3,0
Marquis Teague,Brooklyn,4,0,3,5,2-9,2-2,41:29,0,1,-19,7,1,1-3,5,4
Jorge Gutierrez,Brooklyn,2,0,1,0,5-11,1-2,33:10,0,6,-24,13,0,2-3,0,1
Andrei Kirilenko,Brooklyn,3,1,1,2,2-7,5-7,27:32,2,1,-10,9,1,0-0,4,2
Mason Plumlee,Brooklyn,6,0,1,6,4-7,0-2,17:52,0,1,-4,8,1,0-1,6,3
Alonzo Gee,Cleveland,1,1,1,4,5-9,2-2,30:20,1,3,+23,12,2,0-0,5,0
Tristan Thompson,Cleveland,1,1,0,5,5-9,1-1,26:52,5,0,+20,11,0,0-0,10,0
Spencer Hawes,Cleveland,3,2,0,6,4-7,0-0,23:51,1,2,+11,10,0,2-4,7,2
Kyrie Irving,Cleveland,5,1,0,2,6-12,3-3,27:09,0,3,+10,15,3,0-2,2,2
Dion Waiters,Cleveland,2,0,0,1,7-12,3-4,26:53,1,0,+14,19,1,2-5,2,2
Tyler Zeller,Cleveland,2,2,0,7,9-11,4-5,26:15,4,2,+16,22,1,0-0,11,0
Matthew Dellavedova,Cleveland,6,0,0,2,1-5,0-0,25:57,0,4,+13,3,1,1-3,2,2
Jarrett Jack,Cleveland,9,0,0,3,2-10,0-0,25:29,0,2,+18,5,2,1-3,3,2
Anthony Bennett,Cleveland,0,0,0,6,3-6,1-2,15:14,1,0,+8,7,0,0-0,7,1
Carrick Felix,Cleveland,3,0,0,2,4-6,0-0,12:00,0,2,+12,10,0,2-3,2,1
