Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Pierce,Brooklyn,4,0,1,1,1-6,0-2,14:54,1,1,-14,2,2,0-3,2,0
Andray Blatche,Brooklyn,0,0,2,1,0-6,0-0,10:25,2,0,-16,0,1,0-0,3,1
Brook Lopez,Brooklyn,0,2,0,0,5-9,6-7,21:25,1,0,-14,16,0,0-0,1,0
Joe Johnson,Brooklyn,0,0,0,2,2-10,1-1,16:20,1,2,-23,5,0,0-2,3,1
Shaun Livingston,Brooklyn,0,0,0,0,0-1,0-0,11:45,0,0,-20,0,0,0-0,0,0
Tyshawn Taylor,Brooklyn,12,0,1,1,6-17,3-4,36:15,2,2,+1,16,0,1-5,3,3
Mirza Teletovic,Brooklyn,0,0,2,9,6-14,3-5,32:06,4,2,-10,18,2,3-6,13,3
Mason Plumlee,Brooklyn,1,1,0,4,7-8,2-4,27:52,2,2,-3,16,3,0-0,6,1
Tornike Shengelia,Brooklyn,5,0,1,1,3-7,0-0,27:17,1,3,+2,6,1,0-2,2,1
Alan Anderson,Brooklyn,2,0,0,3,5-7,0-0,23:00,1,0,-9,12,0,2-4,4,1
Reggie Evans,Brooklyn,0,0,1,7,2-4,0-0,18:41,0,2,+11,4,1,0-0,7,0
Chandler Parsons,Houston,3,0,0,6,7-7,1-2,26:48,0,1,+30,21,2,6-6,6,1
Terrence Jones,Houston,1,3,1,6,4-8,3-4,25:53,1,2,+22,11,1,0-1,7,3
Dwight Howard,Houston,2,0,1,5,5-10,2-2,17:27,2,4,+19,12,1,0-0,7,2
James Harden,Houston,7,0,0,0,1-4,7-7,25:53,1,1,+22,9,1,0-1,1,1
Patrick Beverley,Houston,1,0,0,4,2-7,0-0,24:07,0,1,+18,5,0,1-5,4,0
Aaron Brooks,Houston,7,1,0,0,5-8,1-1,28:15,1,3,-1,14,3,3-5,1,1
Francisco Garcia,Houston,5,3,0,2,5-9,0-0,24:47,1,4,-1,15,1,5-7,3,1
Omer Asik,Houston,1,0,1,6,2-5,2-2,23:16,0,1,+7,6,0,0-0,6,2
Omri Casspi,Houston,3,0,0,4,6-9,1-2,22:07,1,0,-3,16,0,3-3,5,4
Ronnie Brewer,Houston,1,0,0,0,0-2,0-0,14:10,0,0,-11,0,0,0-2,0,0
Donatas Motiejunas,Houston,0,1,0,1,2-5,0-0,7:17,0,1,-7,5,0,1-2,1,1
