Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,2,0,0,1,6-14,2-2,38:45,0,3,+0,16,1,2-5,1,3
Paul Pierce,Brooklyn,2,1,1,5,3-9,7-7,32:36,0,4,+3,15,6,2-6,5,2
Kevin Garnett,Brooklyn,1,1,1,6,6-9,0-0,24:38,4,4,+0,12,0,0-0,10,3
Deron Williams,Brooklyn,6,1,1,2,3-12,5-5,39:11,0,4,+3,13,2,2-6,2,1
Shaun Livingston,Brooklyn,2,0,1,2,10-18,4-4,34:44,1,3,-2,24,1,0-0,3,1
Mason Plumlee,Brooklyn,0,4,1,1,2-4,2-3,18:59,1,5,+1,6,3,0-0,2,0
Alan Anderson,Brooklyn,0,0,0,0,3-5,0-0,18:40,0,2,+0,7,0,1-3,0,2
Mirza Teletovic,Brooklyn,0,0,0,3,1-2,0-0,15:24,0,1,-4,2,2,0-1,3,1
Jason Terry,Brooklyn,2,0,0,1,0-4,1-2,12:41,0,1,-4,1,0,0-2,1,1
Reggie Evans,Brooklyn,0,0,0,0,0-0,0-0,4:23,0,1,-2,0,0,0-0,0,1
Paul George,Indiana,1,0,2,8,7-19,4-4,39:23,0,2,+2,20,2,2-6,8,4
David West,Indiana,7,1,0,4,5-7,7-8,32:12,3,1,-2,17,0,0-0,7,1
Roy Hibbert,Indiana,1,3,0,2,7-13,6-6,34:27,3,4,+6,20,1,0-0,5,5
Lance Stephenson,Indiana,4,0,0,6,5-8,4-4,34:40,1,4,-1,14,1,0-0,7,4
George Hill,Indiana,2,0,1,3,3-8,3-4,33:30,1,5,+2,10,0,1-5,4,1
C.J. Watson,Indiana,0,1,0,1,1-4,1-2,18:33,0,0,+1,3,2,0-2,1,0
Danny Granger,Indiana,0,0,2,2,1-7,6-7,18:02,2,0,-3,8,0,0-2,4,2
Luis Scola,Indiana,2,0,0,6,1-3,0-0,15:49,1,2,+5,2,1,0-0,7,5
Ian Mahinmi,Indiana,0,0,2,2,1-4,1-2,13:25,1,2,-5,3,0,0-0,3,1
