Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Alan Anderson,Brooklyn,0,0,1,2,4-9,3-3,32:09,2,1,-14,15,0,4-7,4,1
Reggie Evans,Brooklyn,0,0,1,9,1-2,0-0,21:45,2,4,-5,2,0,0-0,11,1
Andray Blatche,Brooklyn,2,0,0,5,8-11,2-2,33:41,3,3,+1,19,1,1-1,8,1
Joe Johnson,Brooklyn,6,0,1,2,5-17,1-2,34:17,1,2,+1,13,0,2-6,3,2
Shaun Livingston,Brooklyn,5,0,1,2,4-14,3-4,32:43,3,4,-7,11,2,0-0,5,3
Mason Plumlee,Brooklyn,0,1,1,2,7-10,5-12,26:36,4,3,-9,19,1,0-0,6,0
Jason Terry,Brooklyn,5,0,1,0,3-7,2-2,25:13,0,2,+1,9,0,1-4,0,0
Tyshawn Taylor,Brooklyn,4,0,0,0,3-6,6-8,15:17,0,4,+0,13,3,1-1,0,3
Mirza Teletovic,Brooklyn,1,0,1,1,1-7,0-0,10:05,1,0,-1,2,0,0-3,2,0
Tornike Shengelia,Brooklyn,1,0,0,0,0-2,0-0,8:14,0,3,-2,0,0,0-1,0,0
Blake Griffin,LA Clippers,2,1,1,9,12-19,6-11,39:59,3,5,+7,30,0,0-0,12,3
Jared Dudley,LA Clippers,1,0,0,0,0-6,0-0,24:34,1,2,-5,0,0,0-4,1,1
DeAndre Jordan,LA Clippers,0,5,0,10,2-3,5-8,35:11,6,3,+5,9,0,0-0,16,2
Chris Paul,LA Clippers,13,0,0,7,3-12,4-4,34:28,0,2,+7,12,3,2-4,7,1
J.J. Redick,LA Clippers,1,0,0,1,9-14,3-4,29:37,0,1,+14,26,1,5-7,1,1
Matt Barnes,LA Clippers,0,0,0,4,1-3,0-0,23:42,1,4,+13,2,0,0-0,5,0
Jamal Crawford,LA Clippers,4,0,0,2,5-8,2-3,20:46,0,1,-7,13,1,1-3,2,4
Darren Collison,LA Clippers,1,0,0,2,2-5,0-0,13:46,0,1,+3,4,1,0-2,2,1
Byron Mullens,LA Clippers,1,0,0,1,4-4,0-0,9:31,1,2,+3,10,0,2-2,2,3
Ryan Hollins,LA Clippers,0,0,0,1,2-2,0-0,5:12,1,0,-5,4,0,0-0,2,0
Reggie Bullock,LA Clippers,0,1,0,1,0-1,0-0,3:15,0,0,+0,0,0,0-1,1,1
