Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,6,1,0,5,9-15,4-4,41:11,0,2,+8,26,0,4-7,5,1
Kevin Garnett,Brooklyn,3,1,0,3,4-9,0-0,27:59,2,1,-3,8,2,0-0,5,2
Brook Lopez,Brooklyn,1,0,3,7,7-16,6-11,31:16,2,1,-4,20,0,0-1,9,2
Alan Anderson,Brooklyn,3,0,0,7,0-6,0-0,28:21,0,2,-8,0,0,0-2,7,1
Tyshawn Taylor,Brooklyn,0,0,0,0,2-5,2-2,20:54,0,0,-17,6,1,0-0,0,3
Shaun Livingston,Brooklyn,4,0,0,1,1-4,2-2,28:43,0,1,+20,4,0,0-0,1,0
Andray Blatche,Brooklyn,1,1,0,5,7-10,4-5,21:31,3,1,+6,21,1,3-3,8,1
Mason Plumlee,Brooklyn,2,0,0,1,1-2,2-2,15:14,1,1,+19,4,1,0-0,2,0
Mirza Teletovic,Brooklyn,1,0,0,1,3-6,0-0,14:57,0,0,+7,8,1,2-5,1,0
Tornike Shengelia,Brooklyn,0,1,0,1,0-0,0-0,9:54,0,1,+17,0,0,0-0,1,2
Ed Davis,Memphis,0,0,0,5,5-11,0-0,29:29,3,5,-19,10,1,0-0,8,1
Tayshaun Prince,Memphis,0,0,1,1,0-4,0-0,23:18,0,0,+7,0,0,0-0,1,1
Kosta Koufos,Memphis,2,3,2,8,5-10,0-0,39:47,3,4,+8,10,2,0-0,11,3
Mike Conley,Memphis,10,0,1,1,7-14,2-4,34:40,0,0,+1,16,1,0-1,1,2
Tony Allen,Memphis,0,0,0,3,5-12,3-4,21:43,0,4,-5,13,2,0-1,3,2
Jon Leuer,Memphis,0,0,0,5,2-4,0-0,23:34,0,1,-3,6,0,2-2,5,0
Mike Miller,Memphis,0,0,0,3,2-3,0-0,22:55,0,1,-14,6,0,2-3,3,1
Quincy Pondexter,Memphis,1,0,0,0,8-12,3-3,21:00,0,1,-7,22,0,3-5,0,2
Jerryd Bayless,Memphis,6,0,0,1,1-6,1-1,17:53,0,2,+1,3,0,0-3,1,0
Nick Calathes,Memphis,1,0,0,0,1-1,0-0,5:41,0,1,-14,2,0,0-0,0,1
