Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul Pierce,Brooklyn,1,0,0,3,2-11,2-2,21:31,0,1,-24,6,0,0-4,3,2
Kevin Garnett,Brooklyn,2,1,0,6,4-6,0-0,20:41,2,3,-24,8,0,0-0,8,0
Reggie Evans,Brooklyn,0,0,1,7,0-1,0-0,15:22,1,1,-9,0,0,0-0,8,4
Joe Johnson,Brooklyn,4,0,0,2,6-10,1-1,26:18,0,2,-28,15,1,2-3,2,1
Shaun Livingston,Brooklyn,0,0,1,1,0-7,1-2,24:01,2,0,-28,1,1,0-0,3,1
Alan Anderson,Brooklyn,0,0,2,2,5-11,0-0,26:28,1,2,-5,11,2,1-3,3,1
Tyshawn Taylor,Brooklyn,0,0,2,2,3-9,6-8,23:59,0,3,-2,13,0,1-2,2,3
Mason Plumlee,Brooklyn,0,1,0,3,0-2,2-4,23:13,1,2,-8,2,1,0-0,4,1
Andray Blatche,Brooklyn,0,0,0,2,7-14,2-2,21:43,2,3,-23,16,0,0-0,4,4
Tornike Shengelia,Brooklyn,0,0,0,2,1-2,0-1,21:43,1,1,-3,2,0,0-1,3,2
Mirza Teletovic,Brooklyn,0,0,0,7,3-5,0-0,15:01,0,0,+4,7,0,1-3,7,1
Corey Brewer,Minnesota,1,1,0,0,6-13,0-0,27:54,1,2,+30,15,1,3-6,1,1
Kevin Love,Minnesota,4,0,1,10,5-11,7-7,27:54,6,1,+30,17,2,0-3,16,1
Nikola Pekovic,Minnesota,1,1,1,3,5-12,5-7,26:00,4,1,+28,15,0,0-0,7,1
Kevin Martin,Minnesota,3,0,0,1,6-16,3-3,31:21,0,2,+34,17,1,2-6,1,0
Ricky Rubio,Minnesota,8,0,0,2,4-8,2-2,24:43,0,3,+22,12,3,2-3,2,2
Robbie Hummel,Minnesota,1,0,0,4,2-9,0-0,23:29,0,2,+2,5,1,1-8,4,0
Dante Cunningham,Minnesota,3,1,0,6,2-5,0-0,19:03,1,2,+9,4,1,0-0,7,1
J.J. Barea,Minnesota,2,0,0,0,2-5,2-2,15:07,0,1,+11,8,0,2-4,0,0
Derrick Williams,Minnesota,0,0,0,3,3-7,0-0,15:01,2,1,-4,6,1,0-1,5,0
Alexey Shved,Minnesota,2,0,0,0,2-6,0-0,13:16,1,1,-6,5,0,1-4,1,1
Gorgui Dieng,Minnesota,1,3,0,1,2-3,1-2,8:06,2,2,-3,5,0,0-0,3,1
A.J. Price,Minnesota,2,0,0,0,1-2,0-0,8:06,0,1,-3,2,0,0-1,0,0
