Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jerry Stackhouse,Brooklyn,0,0,0,0,0-2,0-0,5:03,0,0,+0,0,0,0-2,0,1
Joe Johnson,Brooklyn,5,0,0,3,8-20,4-4,39:03,0,5,+0,25,1,5-8,3,2
Gerald Wallace,Brooklyn,1,0,0,3,3-5,0-2,26:02,0,3,+0,8,0,2-3,3,1
Reggie Evans,Brooklyn,0,0,0,7,1-3,1-2,20:29,2,1,+0,3,0,0-0,9,0
Keith Bogans,Brooklyn,0,0,0,4,3-6,0-0,22:59,0,3,+0,8,0,2-4,4,1
Kris Humphries,Brooklyn,1,0,0,8,5-8,1-1,27:22,5,2,+0,11,0,0-0,13,3
Deron Williams,Brooklyn,12,0,0,5,3-10,6-7,38:29,0,3,+0,14,0,2-4,5,4
Andray Blatche,Brooklyn,2,0,0,2,0-2,0-0,13:29,0,2,+0,0,2,0-1,2,2
C.J. Watson,Brooklyn,0,0,0,2,1-3,0-0,9:30,0,0,+0,3,0,1-2,2,0
Brook Lopez,Brooklyn,1,4,0,6,6-13,2-4,34:25,5,3,+0,14,0,0-0,11,4
Damion James,Brooklyn,0,0,0,0,0-0,0-0,0:07,0,0,+0,0,0,0-0,0,0
MarShon Brooks,Brooklyn,1,0,0,0,1-2,0-0,3:02,0,0,+0,2,0,0-0,0,1
Jason Kidd,New York,1,1,0,3,4-5,1-2,35:27,0,5,+0,11,6,2-3,3,0
Tyson Chandler,New York,1,0,0,7,3-4,1-3,34:56,4,2,+0,7,0,0-0,11,0
Amar'e Stoudemire,New York,0,0,0,5,6-10,3-6,26:31,1,3,+0,15,0,0-0,6,2
Carmelo Anthony,New York,7,1,0,3,11-29,6-6,44:53,0,4,+0,29,0,1-2,3,2
J.R. Smith,New York,1,0,0,4,7-19,0-0,37:54,0,1,+0,16,3,2-7,4,0
Ronnie Brewer,New York,1,0,0,0,0-2,0-0,3:07,0,0,+0,0,0,0-1,0,0
Steve Novak,New York,1,0,0,2,0-3,0-0,13:31,0,0,+0,0,0,0-1,2,0
Iman Shumpert,New York,2,0,0,3,1-6,0-0,20:06,1,1,+0,2,1,0-3,4,0
Chris Copeland,New York,0,0,0,3,2-6,0-0,15:04,0,2,+0,5,0,1-4,3,0
Pablo Prigioni,New York,0,0,0,0,0-0,0-0,8:31,1,2,+0,0,1,0-0,1,1
