Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,3,0,0,4,11-19,6-6,40:12,1,1,+0,33,1,5-10,5,1
Gerald Wallace,Brooklyn,2,0,0,3,2-5,2-2,36:50,1,1,+0,6,2,0-1,4,0
Reggie Evans,Brooklyn,1,0,0,4,0-2,1-4,19:44,2,2,+0,1,0,0-0,6,3
Keith Bogans,Brooklyn,1,0,0,3,1-2,2-2,17:50,0,2,+0,5,0,1-2,3,2
Kris Humphries,Brooklyn,1,1,0,4,4-10,3-4,25:15,3,1,+0,11,1,0-0,7,2
Deron Williams,Brooklyn,13,0,0,3,5-12,6-6,38:35,0,3,+0,19,5,3-4,3,2
Andray Blatche,Brooklyn,1,1,0,4,4-7,2-2,17:57,1,0,+0,10,0,0-0,5,1
Brook Lopez,Brooklyn,0,1,0,3,11-17,3-3,29:27,2,1,+0,25,2,0-0,5,1
MarShon Brooks,Brooklyn,0,0,0,0,0-0,0-0,1:36,0,0,+0,0,0,0-0,0,0
Tyshawn Taylor,Brooklyn,0,0,0,0,0-2,0-0,9:22,0,1,+0,0,0,0-0,0,0
Tornike Shengelia,Brooklyn,0,0,0,0,0-0,0-0,1:36,0,0,+0,0,0,0-0,0,0
Mirza Teletovic,Brooklyn,0,0,0,0,0-0,0-0,1:36,0,1,+0,0,0,0-0,0,0
Nick Collison,Oklahoma City,1,1,0,0,1-3,2-2,14:21,1,4,+0,4,0,0-0,1,2
Kendrick Perkins,Oklahoma City,2,1,0,10,1-3,1-2,26:39,1,3,+0,3,0,0-0,11,3
Kevin Martin,Oklahoma City,0,0,0,1,3-10,2-2,27:23,0,1,+0,11,0,3-8,1,1
Thabo Sefolosha,Oklahoma City,4,1,0,4,2-5,0-0,33:38,0,5,+0,5,0,1-3,4,0
Kevin Durant,Oklahoma City,5,0,0,5,11-17,3-4,41:21,0,3,+0,27,2,2-5,5,5
Russell Westbrook,Oklahoma City,10,0,0,2,11-19,3-4,41:45,0,4,+0,26,3,1-2,2,6
Serge Ibaka,Oklahoma City,0,5,0,5,6-13,1-1,37:11,3,2,+0,14,0,1-1,8,0
Hasheem Thabeet,Oklahoma City,0,0,0,1,0-1,0-0,7:33,0,1,+0,0,0,0-0,1,1
Reggie Jackson,Oklahoma City,0,0,0,0,0-1,0-0,6:15,0,0,+0,0,0,0-0,0,1
Jeremy Lamb,Oklahoma City,0,0,0,0,0-0,0-0,1:57,0,0,+0,0,0,0-0,0,0
Perry Jones,Oklahoma City,0,0,0,0,1-1,1-2,1:57,1,0,+0,3,0,0-0,1,0
