Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,6,0,0,2,8-11,1-2,36:39,0,2,+0,20,1,3-5,2,0
Gerald Wallace,Brooklyn,1,0,0,0,2-8,0-0,25:37,1,3,+0,4,1,0-3,1,1
Reggie Evans,Brooklyn,0,1,0,7,4-9,1-2,30:59,4,4,+0,9,0,0-0,11,3
Keith Bogans,Brooklyn,0,0,0,1,1-3,0-0,26:04,0,1,+0,3,0,1-3,1,2
Deron Williams,Brooklyn,13,0,0,6,10-19,5-7,40:25,0,1,+0,27,0,2-6,6,1
Andray Blatche,Brooklyn,1,1,0,2,4-7,1-2,15:21,1,1,+0,9,0,0-0,3,3
C.J. Watson,Brooklyn,5,0,0,3,1-3,0-0,12:52,1,1,+0,2,1,0-0,4,0
Brook Lopez,Brooklyn,0,1,0,3,8-13,3-3,32:39,3,3,+0,19,0,0-0,6,1
MarShon Brooks,Brooklyn,0,0,0,0,0-1,0-0,2:23,0,0,+0,0,0,0-0,0,0
Mirza Teletovic,Brooklyn,2,0,0,5,2-7,0-0,17:01,1,3,+0,4,0,0-2,6,0
Dorell Wright,Philadelphia,2,0,0,1,6-10,0-0,20:02,0,0,+0,15,1,3-5,1,2
Royal Ivey,Philadelphia,0,0,0,1,1-1,0-0,7:14,0,0,+0,3,1,1-1,1,0
Damien Wilkins,Philadelphia,2,2,0,0,5-8,1-1,25:33,0,0,+0,13,0,2-3,0,1
Spencer Hawes,Philadelphia,7,2,0,6,10-15,4-6,34:18,4,3,+0,24,0,0-0,10,1
Thaddeus Young,Philadelphia,3,0,0,8,6-9,4-8,36:26,2,1,+0,16,1,0-0,10,0
Jrue Holiday,Philadelphia,11,0,0,0,4-8,6-8,37:44,0,3,+0,15,1,1-1,0,1
Evan Turner,Philadelphia,4,0,0,6,6-18,3-4,38:36,1,3,+0,16,0,1-5,7,1
Charles Jenkins,Philadelphia,2,0,0,2,0-2,0-0,15:18,0,0,+0,0,1,0-0,2,0
Lavoy Allen,Philadelphia,0,0,0,2,1-2,0-0,15:08,0,3,+0,2,0,0-0,2,0
Arnett Moultrie,Philadelphia,0,0,0,0,1-3,0-0,9:41,2,2,+0,2,0,0-0,2,0
