Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jerry Stackhouse,Brooklyn,0,0,0,0,1-5,0-0,19:14,0,0,+0,3,0,1-3,0,1
Joe Johnson,Brooklyn,2,0,0,0,5-12,1-1,28:03,0,1,+0,12,1,1-4,0,2
Reggie Evans,Brooklyn,0,0,0,6,2-4,0-0,21:16,3,2,+0,4,0,0-0,9,0
Keith Bogans,Brooklyn,2,0,0,1,0-2,0-0,19:57,0,2,+0,0,0,0-2,1,0
Kris Humphries,Brooklyn,0,1,0,3,2-2,3-4,22:24,0,0,+0,7,0,0-0,3,1
Deron Williams,Brooklyn,1,0,0,1,3-11,1-1,28:20,1,1,+0,8,4,1-3,2,2
Andray Blatche,Brooklyn,2,1,0,7,1-6,3-4,20:35,1,1,+0,5,1,0-1,8,2
C.J. Watson,Brooklyn,2,0,0,0,1-2,1-2,11:59,0,0,+0,3,1,0-1,0,0
Brook Lopez,Brooklyn,2,1,0,1,4-11,3-4,21:55,4,2,+0,11,1,0-0,5,3
MarShon Brooks,Brooklyn,0,1,0,1,7-12,1-1,19:21,1,5,+0,16,0,1-2,2,3
Tyshawn Taylor,Brooklyn,1,0,0,1,2-5,0-0,8:17,0,2,+0,4,1,0-0,1,0
Tornike Shengelia,Brooklyn,1,0,0,3,0-1,0-0,8:49,0,2,+0,0,0,0-0,3,2
Mirza Teletovic,Brooklyn,1,0,0,1,0-1,0-0,9:50,0,0,+0,0,0,0-1,1,0
Tim Duncan,San Antonio,3,2,0,4,7-12,1-1,24:30,0,2,+0,15,0,0-0,4,2
Stephen Jackson,San Antonio,2,0,0,3,1-6,4-4,25:07,1,0,+0,6,1,0-3,4,2
Manu Ginobili,San Antonio,5,0,0,3,3-4,2-3,20:04,0,1,+0,8,3,0-1,3,1
Tony Parker,San Antonio,6,0,0,1,9-13,1-2,25:49,0,2,+0,20,1,1-1,1,1
Boris Diaw,San Antonio,2,1,0,5,3-5,0-0,16:06,1,2,+0,6,1,0-0,6,2
Matt Bonner,San Antonio,1,0,0,4,4-6,0-0,21:11,1,2,+0,10,1,2-3,5,0
Tiago Splitter,San Antonio,1,2,0,2,5-7,0-0,22:13,1,2,+0,10,0,0-0,3,0
DeJuan Blair,San Antonio,0,0,0,1,0-2,1-2,12:00,0,1,+0,1,0,0-0,1,0
Danny Green,San Antonio,0,1,0,2,1-1,1-2,15:56,0,1,+0,3,1,0-0,2,2
Nando De Colo,San Antonio,1,0,0,2,4-7,2-2,22:11,0,2,+0,11,0,1-1,2,3
Patty Mills,San Antonio,2,0,0,2,2-5,0-0,12:00,0,1,+0,4,0,0-2,2,0
Kawhi Leonard,San Antonio,2,0,0,3,4-5,0-0,22:53,0,0,+0,10,1,2-3,3,0
