Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,4,0,1,8,8-13,8-8,44:30,0,2,+15,24,2,0-1,8,2
Paul Pierce,Brooklyn,4,1,1,4,6-13,1-1,35:32,0,2,+20,15,1,2-5,4,1
Kevin Garnett,Brooklyn,1,1,0,7,1-5,3-6,20:05,1,2,+10,5,2,0-0,8,1
Deron Williams,Brooklyn,3,0,1,1,8-20,6-6,38:48,0,2,+20,24,1,2-6,1,1
Shaun Livingston,Brooklyn,3,0,1,3,4-6,2-2,29:18,0,4,+4,10,0,0-0,3,0
Alan Anderson,Brooklyn,1,0,0,1,3-7,0-0,18:45,1,0,-3,6,2,0-3,2,1
Andray Blatche,Brooklyn,0,0,0,2,2-5,1-2,16:10,4,1,-16,5,0,0-0,6,1
Marcus Thornton,Brooklyn,0,0,0,0,0-4,1-2,12:39,0,0,-15,1,0,0-4,0,0
Mirza Teletovic,Brooklyn,0,0,0,1,1-6,0-0,12:28,1,1,-13,2,1,0-5,2,0
Mason Plumlee,Brooklyn,0,0,0,3,1-1,0-0,11:45,0,5,+13,2,0,0-0,3,1
Amir Johnson,Toronto,0,0,0,2,1-2,0-0,21:28,1,2,-12,2,0,0-0,3,1
Terrence Ross,Toronto,0,0,0,3,1-4,0-0,16:14,0,4,-1,3,1,1-4,3,1
Jonas Valanciunas,Toronto,2,2,1,13,7-13,3-4,35:00,5,3,-17,17,0,0-0,18,6
Kyle Lowry,Toronto,8,0,1,6,7-18,5-6,44:02,1,3,-12,22,2,3-7,7,5
DeMar DeRozan,Toronto,1,1,0,2,3-13,8-8,37:05,0,2,-10,14,0,0-4,2,3
Greivis Vasquez,Toronto,8,0,0,4,5-11,5-5,29:13,0,4,+8,18,0,3-5,4,1
Patrick Patterson,Toronto,2,1,0,4,4-8,0-0,26:18,1,1,+5,9,0,1-2,5,0
John Salmons,Toronto,0,0,0,1,0-1,0-0,13:19,0,1,-9,0,0,0-1,1,0
Tyler Hansbrough,Toronto,1,0,0,1,0-0,2-2,6:42,0,1,+7,2,0,0-0,1,0
Chuck Hayes,Toronto,0,0,0,0,0-1,0-0,6:18,0,0,+3,0,0,0-0,0,0
Nando De Colo,Toronto,0,0,0,1,0-0,0-0,3:47,0,2,+3,0,0,0-0,1,0
Steve Novak,Toronto,0,0,0,0,0-0,0-0,0:33,0,0,+0,0,0,0-0,0,0
