Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Cody Zeller,Charlotte,4,1,1,8,4-6,4-8,36:43,3,1,-2,12,0,0-0,11,1
Michael Kidd-Gilchrist,Charlotte,1,2,0,4,2-4,0-1,22:12,2,2,-1,4,1,0-0,6,1
Al Jefferson,Charlotte,4,2,1,12,9-21,6-8,40:56,3,2,-3,24,1,0-0,15,2
Kemba Walker,Charlotte,7,0,0,4,7-23,3-4,41:52,0,2,+8,20,3,3-8,4,3
Gerald Henderson,Charlotte,0,0,0,2,5-13,4-4,32:41,0,2,+4,15,1,1-3,2,0
Chris Douglas-Roberts,Charlotte,3,0,1,6,3-9,2-2,31:03,0,3,+0,9,0,1-4,6,3
Gary Neal,Charlotte,0,0,0,1,0-6,0-0,19:06,0,2,-2,0,1,0-4,1,1
Anthony Tolliver,Charlotte,1,0,0,5,2-5,0-0,16:13,0,1,+2,6,0,2-5,5,1
Luke Ridnour,Charlotte,3,0,0,1,2-3,0-0,12:23,0,2,-4,6,0,2-2,1,0
Bismack Biyombo,Charlotte,0,0,0,3,0-1,0-0,11:51,4,2,+8,0,0,0-0,7,0
Luol Deng,Cleveland,1,0,1,3,2-10,1-1,36:44,0,1,-3,5,0,0-3,3,0
Tristan Thompson,Cleveland,3,0,1,10,2-8,0-0,30:13,2,1,-4,4,1,0-0,12,1
Spencer Hawes,Cleveland,4,0,1,6,3-9,2-2,35:36,1,2,-3,9,0,1-2,7,1
Kyrie Irving,Cleveland,8,0,0,5,16-31,7-8,42:35,2,3,+3,44,3,5-9,7,3
Dion Waiters,Cleveland,1,3,1,2,5-16,3-4,36:02,1,2,+3,14,0,1-4,3,2
Jarrett Jack,Cleveland,2,0,0,2,1-8,3-3,27:05,0,3,+0,5,0,0-1,2,0
Anderson Varejao,Cleveland,1,0,0,2,2-3,0-0,23:21,1,6,-2,4,1,0-0,3,1
Tyler Zeller,Cleveland,1,0,1,6,2-6,1-1,16:46,2,0,+4,5,0,0-0,8,1
Matthew Dellavedova,Cleveland,1,0,0,1,1-3,0-0,9:35,0,0,-3,2,0,0-2,1,1
Alonzo Gee,Cleveland,0,0,0,4,1-2,0-2,7:05,1,0,-5,2,0,0-1,5,1
