Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brendan Haywood,Charlotte,1,1,0,0,2-4,0-0,26:36,1,1,+0,4,0,0-0,1,2
Ben Gordon,Charlotte,0,0,0,3,9-14,2-3,25:42,0,4,+0,21,0,1-1,3,0
Hakim Warrick,Charlotte,2,1,0,6,5-13,3-5,33:07,1,4,+0,13,1,0-1,7,2
Ramon Sessions,Charlotte,6,0,0,2,2-11,3-3,21:45,0,0,+0,7,1,0-1,2,0
Gerald Henderson,Charlotte,3,0,0,1,6-12,0-0,27:40,1,2,+0,12,0,0-1,2,3
Jeff Adrien,Charlotte,0,0,0,5,0-2,0-0,14:53,2,3,+0,0,0,0-0,7,1
Bismack Biyombo,Charlotte,1,2,0,2,4-4,0-0,21:24,1,2,+0,8,0,0-0,3,1
Kemba Walker,Charlotte,4,3,0,5,5-9,5-5,31:02,0,3,+0,16,3,1-2,5,2
Michael Kidd-Gilchrist,Charlotte,2,0,0,5,2-7,0-0,20:39,3,1,+0,4,0,0-0,8,2
Jeffery Taylor,Charlotte,1,0,0,0,1-2,0-0,17:12,0,0,+0,3,0,1-1,0,1
David West,Indiana,10,0,0,6,7-15,0-0,38:22,6,2,+0,14,1,0-0,12,4
Gerald Green,Indiana,0,0,0,2,3-12,0-0,21:51,0,1,+0,8,0,2-8,2,2
Ian Mahinmi,Indiana,2,3,0,7,2-5,1-1,26:04,1,3,+0,5,2,0-0,8,0
Dominic McGuire,Indiana,0,0,0,1,0-3,0-2,6:31,1,0,+0,0,0,0-0,2,0
D.J. Augustin,Indiana,4,0,0,0,5-9,4-4,28:13,0,4,+0,18,1,4-8,0,1
Roy Hibbert,Indiana,1,1,0,1,4-9,1-2,21:56,8,3,+0,9,1,0-0,9,3
George Hill,Indiana,4,0,0,4,7-17,2-2,41:49,0,2,+0,19,1,3-7,4,0
Tyler Hansbrough,Indiana,0,1,0,1,1-3,1-1,9:38,0,3,+0,3,0,0-0,1,2
Lance Stephenson,Indiana,2,1,0,6,8-13,0-0,38:35,1,3,+0,17,4,1-3,7,2
Orlando Johnson,Indiana,1,0,0,3,1-3,0-0,7:01,0,0,+0,3,1,1-2,3,0
