Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Michael Kidd-Gilchrist,Charlotte,1,0,0,5,2-10,3-6,30:02,2,3,+0,7,1,0-0,7,1
Cody Zeller,Charlotte,2,0,0,3,0-5,0-0,24:03,1,1,+0,0,0,0-0,4,0
Bismack Biyombo,Charlotte,0,2,0,14,3-8,3-4,37:04,7,3,+0,9,0,0-0,21,5
Gerald Henderson,Charlotte,0,0,0,1,1-9,2-2,28:06,0,0,+0,4,0,0-2,1,1
Kemba Walker,Charlotte,1,0,0,3,3-11,5-6,25:06,1,2,+0,12,0,1-2,4,1
Jannero Pargo,Charlotte,1,0,0,2,8-12,4-4,22:54,0,2,+0,24,1,4-4,2,1
Ramon Sessions,Charlotte,4,0,0,3,3-7,1-2,20:36,0,0,+0,7,1,0-2,3,1
Anthony Tolliver,Charlotte,0,0,0,3,1-4,0-0,18:56,0,0,+0,3,1,1-3,3,1
Ben Gordon,Charlotte,3,0,0,2,3-9,2-3,17:16,1,1,+0,8,2,0-4,3,1
Josh McRoberts,Charlotte,3,1,0,1,4-5,0-0,15:57,1,1,+0,9,3,1-1,2,0
John Henson,Milwaukee,1,2,0,6,5-11,0-0,34:08,4,5,+0,10,1,0-1,10,3
Caron Butler,Milwaukee,2,0,0,5,7-16,2-2,33:19,1,3,+0,18,0,2-5,6,2
Larry Sanders,Milwaukee,0,4,0,6,0-8,0-0,27:53,1,3,+0,0,1,0-0,7,1
O.J. Mayo,Milwaukee,3,0,0,1,5-13,2-3,33:32,1,4,+0,15,0,3-8,2,4
Brandon Knight,Milwaukee,7,0,0,9,1-8,2-2,30:07,0,2,+0,4,0,0-4,9,2
Luke Ridnour,Milwaukee,3,0,0,0,5-9,0-0,23:38,0,1,+0,14,0,4-5,0,2
Olek Czyz,Milwaukee,0,0,0,2,4-5,2-5,16:09,1,1,+0,11,1,1-1,3,1
Khris Middleton,Milwaukee,2,0,0,2,1-5,0-0,14:41,1,1,+0,2,0,0-1,3,2
Giannis Antetokounmpo,Milwaukee,2,1,0,4,1-2,0-0,14:28,1,0,+0,2,0,0-0,5,0
Stephen Graham,Milwaukee,0,0,0,0,0-2,0-0,8:48,0,1,+0,0,1,0-0,0,0
Miroslav Raduljica,Milwaukee,0,0,0,2,0-0,0-0,3:17,0,2,+0,0,0,0-0,2,2
