Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brendan Haywood,Charlotte,1,1,0,4,3-7,2-2,29:45,3,4,+0,8,0,0-0,7,2
Ben Gordon,Charlotte,2,0,0,2,2-5,2-2,14:46,0,4,+0,6,0,0-0,2,1
Hakim Warrick,Charlotte,0,0,0,2,5-12,5-8,31:00,3,2,+0,15,1,0-1,5,0
Ramon Sessions,Charlotte,7,1,0,4,4-13,6-8,30:00,0,4,+0,15,0,1-2,4,1
Gerald Henderson,Charlotte,0,0,0,3,8-11,1-2,21:26,0,3,+0,17,1,0-1,3,2
Jeff Adrien,Charlotte,0,0,0,4,3-5,3-5,17:00,1,3,+0,9,0,0-0,5,1
Bismack Biyombo,Charlotte,0,1,0,4,1-4,2-2,18:07,0,0,+0,4,0,0-0,4,2
Kemba Walker,Charlotte,5,0,0,5,8-16,7-9,35:42,3,2,+0,25,2,2-6,8,1
Michael Kidd-Gilchrist,Charlotte,1,1,0,2,2-5,0-0,23:09,1,0,+0,4,0,0-1,3,0
Jeffery Taylor,Charlotte,0,0,0,2,1-1,0-0,19:05,0,2,+0,3,1,1-1,2,0
Jameer Nelson,Orlando,7,0,0,5,8-17,2-2,37:44,0,3,+0,22,0,4-10,5,1
J.J. Redick,Orlando,3,0,0,1,4-9,2-3,31:35,0,3,+0,13,0,3-7,1,4
Arron Afflalo,Orlando,2,0,0,2,8-20,6-7,39:44,2,5,+0,23,1,1-6,4,3
Glen Davis,Orlando,3,0,0,8,1-5,2-4,23:49,0,5,+0,4,1,0-0,8,2
Josh McRoberts,Orlando,0,0,0,1,0-1,0-0,11:00,0,1,+0,0,0,0-1,1,1
Nikola Vucevic,Orlando,3,3,0,4,5-8,1-2,39:39,5,3,+0,11,0,0-0,9,0
E'Twaun Moore,Orlando,1,0,0,1,3-7,0-0,14:44,0,5,+0,8,0,2-5,1,0
Andrew Nicholson,Orlando,1,0,0,4,4-6,2-2,18:29,2,2,+0,10,0,0-0,6,1
Kyle O'Quinn,Orlando,0,0,0,0,1-1,0-1,2:55,0,1,+0,2,0,0-0,0,0
DeQuan Jones,Orlando,0,0,0,0,3-5,0-0,20:21,1,0,+0,7,1,1-2,1,2
