Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brendan Haywood,Charlotte,1,0,0,3,3-7,3-4,27:45,4,2,+0,9,1,0-0,7,0
Ben Gordon,Charlotte,2,0,0,2,3-10,1-1,27:55,2,4,+0,8,0,1-4,4,1
Ramon Sessions,Charlotte,4,1,0,3,6-16,7-7,33:36,0,3,+0,20,1,1-2,3,1
Gerald Henderson,Charlotte,3,0,0,1,4-12,5-6,34:00,0,1,+0,13,1,0-2,1,0
Byron Mullens,Charlotte,0,1,0,3,7-19,2-3,37:43,0,0,+0,16,1,0-4,3,2
Jeff Adrien,Charlotte,1,0,0,4,1-4,0-0,10:17,2,1,+0,2,0,0-0,6,0
Bismack Biyombo,Charlotte,1,1,0,6,0-2,0-0,20:15,1,3,+0,0,1,0-0,7,0
Kemba Walker,Charlotte,4,0,0,2,2-9,2-2,24:19,2,1,+0,6,0,0-2,4,1
Michael Kidd-Gilchrist,Charlotte,2,0,0,2,1-6,0-0,14:24,0,1,+0,2,0,0-0,2,1
Jeffery Taylor,Charlotte,2,0,0,2,0-3,0-0,9:46,1,1,+0,0,0,0-2,3,1
Dorell Wright,Philadelphia,0,1,0,3,0-2,0-0,17:51,0,0,+0,0,0,0-2,3,0
Spencer Hawes,Philadelphia,3,0,0,7,8-15,0-0,40:14,2,2,+0,17,1,1-3,9,2
Nick Young,Philadelphia,1,0,0,2,2-8,1-2,18:47,0,4,+0,5,0,0-5,2,0
Jrue Holiday,Philadelphia,7,0,0,3,10-23,0-0,39:11,0,1,+0,20,0,0-3,3,3
Evan Turner,Philadelphia,4,0,0,9,7-17,2-2,39:33,1,4,+0,16,0,0-1,10,4
Lavoy Allen,Philadelphia,3,1,0,11,7-16,0-0,41:13,11,2,+0,14,0,0-0,22,1
Jeremy Pargo,Philadelphia,6,0,0,3,4-9,3-3,29:13,1,5,+0,12,0,1-2,4,1
Arnett Moultrie,Philadelphia,0,0,0,6,1-3,1-3,13:58,1,1,+0,3,1,0-0,7,0
