Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Josh McRoberts,Charlotte,2,0,1,4,2-6,0-0,32:08,4,4,-7,5,0,1-3,8,0
Anthony Tolliver,Charlotte,0,0,1,4,1-6,0-0,26:27,3,1,-3,3,0,1-2,7,2
Al Jefferson,Charlotte,2,2,2,8,8-23,1-2,35:40,2,1,-1,18,3,1-2,10,2
Kemba Walker,Charlotte,4,0,2,5,6-17,5-5,41:53,1,2,+2,18,1,1-1,6,3
Gerald Henderson,Charlotte,2,0,0,3,6-13,5-8,35:32,0,1,-1,19,0,2-2,3,1
Ramon Sessions,Charlotte,2,0,3,3,4-13,0-0,25:24,1,0,+0,8,2,0-1,4,1
Chris Douglas-Roberts,Charlotte,0,0,0,2,2-4,0-0,25:18,1,1,-1,5,0,1-3,3,2
Bismack Biyombo,Charlotte,0,1,0,4,1-1,0-0,12:20,0,1,-2,2,0,0-0,4,0
Cody Zeller,Charlotte,1,0,0,0,1-1,0-0,5:18,0,1,-2,2,0,0-0,0,0
Richard Jefferson,Utah,2,1,0,5,3-10,1-2,40:09,0,3,-4,9,0,2-6,5,0
Marvin Williams,Utah,0,1,0,7,6-8,0-0,34:22,3,0,+3,13,1,1-1,10,0
Derrick Favors,Utah,2,3,1,2,6-10,1-2,34:23,2,4,+5,13,2,0-0,4,6
Trey Burke,Utah,5,1,1,2,8-17,2-2,36:00,1,2,+3,21,1,3-6,3,1
Gordon Hayward,Utah,5,2,0,3,3-10,2-2,28:26,0,3,+3,9,0,1-3,3,3
Alec Burks,Utah,1,1,1,6,6-12,1-1,27:25,0,1,+7,14,2,1-3,6,1
Jeremy Evans,Utah,1,0,0,3,0-3,0-0,13:38,2,2,+0,0,0,0-0,5,0
Enes Kanter,Utah,1,0,0,5,2-8,0-0,13:37,2,2,-2,4,0,0-0,7,2
Diante Garrett,Utah,0,0,0,3,0-2,0-0,12:00,0,0,+0,0,0,0-2,3,0
