Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Brendan Haywood,Charlotte,0,0,0,5,5-7,0-2,29:06,2,3,+0,10,0,0-0,7,0
Ben Gordon,Charlotte,1,0,0,1,4-10,4-4,24:45,0,1,+0,13,0,1-3,1,2
Josh McRoberts,Charlotte,0,0,0,1,2-4,0-0,22:17,1,6,+0,4,0,0-1,2,1
Gerald Henderson,Charlotte,2,1,0,2,5-15,7-8,38:31,0,1,+0,17,1,0-1,2,1
Byron Mullens,Charlotte,2,0,0,1,1-1,0-0,5:11,1,0,+0,2,0,0-0,2,0
Reggie Williams,Charlotte,1,0,0,0,0-0,2-2,3:36,0,0,+0,2,0,0-0,0,2
Jeff Adrien,Charlotte,2,0,0,3,1-5,1-2,22:34,1,4,+0,3,0,0-0,4,2
Bismack Biyombo,Charlotte,1,1,0,5,1-6,0-0,16:52,2,2,+0,2,1,0-0,7,0
Kemba Walker,Charlotte,6,0,0,3,11-25,4-5,44:24,0,1,+0,29,4,3-9,3,3
Michael Kidd-Gilchrist,Charlotte,4,0,0,3,1-4,0-0,19:09,0,2,+0,2,2,0-0,3,1
Jeffery Taylor,Charlotte,0,0,0,1,1-2,0-0,13:35,0,1,+0,3,0,1-1,1,0
Nene Hilario,Washington,4,2,0,6,6-12,7-11,31:17,2,4,+0,19,0,0-0,8,4
Emeka Okafor,Washington,2,1,0,7,2-7,2-2,27:39,3,2,+0,6,1,0-0,10,0
Trevor Ariza,Washington,0,0,0,9,7-11,7-8,34:44,1,2,+0,26,0,5-8,10,3
Martell Webster,Washington,1,0,0,4,7-13,2-2,35:00,0,2,+0,20,2,4-8,4,0
Cartier Martin,Washington,0,0,0,0,0-1,0-0,1:19,0,0,+0,0,0,0-0,0,0
A.J. Price,Washington,6,0,0,0,1-2,2-2,19:32,0,1,+0,4,1,0-1,0,0
Garrett Temple,Washington,4,0,0,4,1-4,0-0,23:02,0,5,+0,2,0,0-0,4,2
John Wall,Washington,6,2,0,2,6-11,0-1,30:23,0,0,+0,13,1,1-1,2,3
Kevin Seraphin,Washington,0,0,0,2,4-7,1-2,21:04,2,4,+0,9,1,0-0,4,3
Trevor Booker,Washington,0,0,0,2,1-2,2-2,13:45,1,4,+0,4,0,0-0,3,0
Jan Vesely,Washington,0,0,0,0,0-0,1-2,1:37,0,2,+0,1,0,0-0,0,1
Chris Singleton,Washington,0,0,0,0,0-0,0-0,0:38,0,0,+0,0,0,0-0,0,0
