Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Chicago,3,0,0,2,2-3,2-2,30:35,0,3,+0,8,2,2-2,2,1
Carlos Boozer,Chicago,2,0,0,5,5-8,2-3,24:00,1,1,-2,12,0,0-0,6,4
Joakim Noah,Chicago,6,0,1,8,5-10,0-0,37:57,2,4,+5,10,2,0-0,10,1
Jimmy Butler,Chicago,2,0,1,1,6-16,2-2,40:53,1,2,+11,17,3,3-8,2,0
Kirk Hinrich,Chicago,6,0,0,2,7-13,2-2,30:51,1,1,+0,17,2,1-4,3,2
D.J. Augustin,Chicago,5,0,0,1,8-15,3-4,28:16,0,3,+18,23,2,4-8,1,3
Taj Gibson,Chicago,2,2,1,4,4-9,2-2,28:12,2,2,+22,10,2,0-0,6,2
Tony Snell,Chicago,1,0,0,3,2-3,0-0,13:25,0,2,+10,6,0,2-3,3,0
Nazr Mohammed,Chicago,0,1,0,3,1-1,0-0,5:51,0,1,+1,2,0,0-0,3,0
Paul Millsap,Atlanta,3,1,1,9,8-17,5-7,37:19,2,3,-4,22,2,1-3,11,1
DeMarre Carroll,Atlanta,3,0,2,3,3-8,2-3,36:26,3,2,-5,8,0,0-2,6,1
Pero Antic,Atlanta,1,0,0,1,0-2,0-0,10:11,0,2,-2,0,0,0-1,1,0
Jeff Teague,Atlanta,8,0,0,1,7-14,4-5,35:04,1,2,+1,21,2,3-7,2,4
Kyle Korver,Atlanta,1,0,0,4,4-9,0-0,33:30,0,0,-4,12,0,4-6,4,4
Elton Brand,Atlanta,3,1,0,5,4-5,0-0,25:52,0,3,-5,8,2,0-0,5,0
Lou Williams,Atlanta,5,0,0,2,1-4,4-5,21:03,0,1,-8,6,1,0-2,2,5
Dennis Schroder,Atlanta,0,0,0,1,2-5,1-2,12:56,0,3,-14,5,0,0-1,1,1
Mike Muscala,Atlanta,0,0,0,1,2-4,4-4,11:57,2,0,-6,8,0,0-1,3,0
Mike Scott,Atlanta,0,1,0,2,1-3,0-0,10:41,1,1,-9,2,0,0-1,3,0
Shelvin Mack,Atlanta,0,0,0,0,0-1,0-0,5:01,0,0,-9,0,0,0-0,0,0
