Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nazr Mohammed,Chicago,1,1,0,2,4-5,0-0,17:37,0,2,+0,8,0,0-0,2,0
Carlos Boozer,Chicago,2,0,0,10,6-12,1-1,41:49,2,2,+0,13,0,0-0,12,2
Kirk Hinrich,Chicago,5,0,0,2,4-10,3-6,35:04,1,4,+0,13,2,2-3,3,1
Luol Deng,Chicago,4,2,0,8,7-17,1-3,42:24,2,2,+0,15,1,0-2,10,2
Nate Robinson,Chicago,2,0,0,1,4-11,2-2,26:07,0,2,+0,11,2,1-3,1,1
Joakim Noah,Chicago,3,2,0,6,4-8,3-6,25:29,4,5,+0,11,0,0-0,10,4
Marco Belinelli,Chicago,2,0,0,1,4-7,0-0,11:07,0,1,+0,8,1,0-2,1,1
Taj Gibson,Chicago,0,0,0,1,3-3,0-0,10:46,0,5,+0,6,0,0-0,1,1
Jimmy Butler,Chicago,2,2,0,4,1-4,3-5,29:37,0,2,+0,5,0,0-2,4,2
Jerry Stackhouse,Brooklyn,0,0,0,0,1-4,2-2,6:13,0,1,+0,4,0,0-3,0,0
Joe Johnson,Brooklyn,4,0,0,3,6-18,2-2,39:33,1,2,+0,17,1,3-7,4,2
Gerald Wallace,Brooklyn,0,0,0,2,1-7,0-0,19:24,1,2,+0,2,2,0-1,3,2
Reggie Evans,Brooklyn,0,0,0,8,2-3,0-0,22:35,0,1,+0,4,2,0-0,8,2
Keith Bogans,Brooklyn,2,0,0,0,0-1,0-0,12:53,0,1,+0,0,0,0-1,0,0
Kris Humphries,Brooklyn,0,0,0,2,3-7,2-2,17:58,3,2,+0,8,0,0-0,5,0
Deron Williams,Brooklyn,10,1,0,3,1-9,6-7,38:05,1,3,+0,8,1,0-5,4,2
Andray Blatche,Brooklyn,0,0,0,6,4-9,0-0,19:48,1,2,+0,8,0,0-0,7,1
C.J. Watson,Brooklyn,5,1,0,2,4-9,1-2,26:53,1,1,+0,10,1,1-4,3,0
Brook Lopez,Brooklyn,1,3,0,2,7-14,7-8,35:00,3,4,+0,21,1,0-0,5,3
MarShon Brooks,Brooklyn,0,0,0,0,0-1,0-0,1:38,0,0,+0,0,0,0-0,0,0
