Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Chicago,4,0,0,7,5-10,2-2,41:33,1,2,+10,16,2,4-7,8,1
Carlos Boozer,Chicago,1,0,1,5,4-9,1-2,24:00,1,3,-12,9,0,0-0,6,2
Joakim Noah,Chicago,4,1,1,9,4-8,2-3,36:59,0,5,+14,10,2,0-0,9,5
Jimmy Butler,Chicago,3,1,1,6,6-13,6-11,44:18,1,0,-1,19,1,1-4,7,0
Kirk Hinrich,Chicago,3,0,0,0,7-8,1-2,29:42,0,3,+7,17,0,2-2,0,5
Taj Gibson,Chicago,1,0,1,10,7-15,6-7,31:27,5,1,+18,20,1,0-0,15,4
D.J. Augustin,Chicago,3,0,1,0,3-7,1-1,24:53,0,1,+13,9,0,2-6,0,2
Nazr Mohammed,Chicago,0,0,0,0,0-0,0-0,3:34,1,1,-2,0,0,0-0,1,0
Tony Snell,Chicago,0,0,0,0,0-1,0-0,3:34,0,3,-2,0,0,0-0,0,1
Dirk Nowitzki,Dallas,2,1,0,3,7-18,0-0,34:16,2,2,-19,15,0,1-5,5,3
Shawn Marion,Dallas,2,0,0,2,5-5,0-0,29:50,2,2,+5,11,0,1-1,4,4
Samuel Dalembert,Dallas,0,2,1,6,2-4,2-2,22:46,4,3,+9,6,0,0-0,10,2
Monta Ellis,Dallas,5,1,0,4,7-19,4-8,39:02,0,3,-9,20,3,2-6,4,1
Jose Calderon,Dallas,2,0,1,2,5-12,0-0,32:46,1,1,+3,13,2,3-7,3,0
Vince Carter,Dallas,1,1,0,4,5-14,1-2,26:24,3,3,+4,15,3,4-8,7,1
DeJuan Blair,Dallas,0,0,0,1,2-4,3-3,16:24,1,2,-12,7,4,0-0,2,0
Devin Harris,Dallas,4,0,0,1,0-3,2-2,15:14,0,2,-12,2,0,0-1,1,2
Wayne Ellington,Dallas,0,0,0,1,1-4,0-0,13:28,0,1,-8,2,0,0-3,1,0
Brandan Wright,Dallas,1,0,0,0,0-2,0-0,8:38,0,1,-4,0,0,0-0,0,0
Jae Crowder,Dallas,0,0,0,0,0-0,0-0,1:12,0,0,-2,0,0,0-0,0,0
