Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Chicago,2,5,1,3,3-9,3-3,37:56,0,4,-18,9,1,0-1,3,3
Carlos Boozer,Chicago,1,1,2,3,5-14,0-2,31:07,2,4,-10,10,0,0-0,5,2
Joakim Noah,Chicago,6,0,0,9,5-15,2-2,38:08,4,4,-8,12,4,0-0,13,3
Jimmy Butler,Chicago,1,0,2,1,5-11,3-4,45:21,1,3,-4,17,5,4-6,2,1
Kirk Hinrich,Chicago,3,1,0,2,3-6,0-0,28:28,0,2,-5,7,1,1-2,2,1
D.J. Augustin,Chicago,3,1,3,4,6-14,5-7,29:36,0,2,-1,17,1,0-1,4,1
Taj Gibson,Chicago,1,1,0,3,1-6,5-6,22:14,2,6,+1,7,0,0-0,5,2
Nazr Mohammed,Chicago,0,1,0,1,0-0,0-0,4:31,0,0,-7,0,0,0-0,1,0
Tony Snell,Chicago,0,0,1,0,0-2,0-0,2:39,1,0,-8,0,0,0-1,1,0
Paul George,Indiana,10,0,1,9,3-13,3-4,36:34,3,1,+8,10,1,1-5,12,3
David West,Indiana,2,1,1,5,4-9,2-2,27:16,1,2,+12,10,0,0-0,6,0
Roy Hibbert,Indiana,2,4,1,6,3-10,6-6,31:57,5,1,+13,12,0,0-0,11,1
George Hill,Indiana,3,0,1,2,3-10,4-4,35:47,1,4,+7,10,1,0-4,3,1
Lance Stephenson,Indiana,0,0,1,3,7-11,1-1,28:26,0,2,+6,15,1,0-0,3,4
Evan Turner,Indiana,7,0,3,1,3-8,0-2,20:34,1,1,+5,6,1,0-0,2,3
Luis Scola,Indiana,0,1,1,5,9-12,1-2,20:29,1,3,+0,19,0,0-0,6,1
Ian Mahinmi,Indiana,0,0,1,0,0-2,4-4,16:03,1,2,-1,4,0,0-0,1,0
Donald Sloan,Indiana,2,1,0,4,0-1,0-0,12:13,0,1,+5,0,0,0-0,4,1
Chris Copeland,Indiana,1,2,0,3,2-3,0-0,9:40,0,1,+8,5,0,1-2,3,1
Rasual Butler,Indiana,0,0,0,0,0-0,0-0,1:01,0,0,-3,0,0,0-0,0,1
