Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Boozer,Chicago,0,0,0,7,9-16,3-4,31:03,3,2,+0,21,1,0-0,10,4
Mike Dunleavy,Chicago,1,0,0,3,2-5,3-3,26:22,1,0,+13,7,2,0-2,4,1
Joakim Noah,Chicago,0,3,0,7,2-9,4-5,32:01,3,4,+7,8,3,0-0,10,4
Jimmy Butler,Chicago,2,0,2,4,6-10,12-14,40:47,0,3,-1,26,0,2-3,4,2
Kirk Hinrich,Chicago,4,1,0,1,1-3,3-6,30:48,1,4,+13,6,1,1-1,2,1
Taj Gibson,Chicago,0,5,1,3,3-7,3-4,28:43,0,4,-2,9,1,0-0,3,4
D.J. Augustin,Chicago,9,0,1,1,2-8,4-4,28:37,0,3,-8,10,4,2-7,1,4
Tony Snell,Chicago,0,0,1,1,3-5,1-2,17:27,0,0,-4,8,0,1-2,1,0
Nazr Mohammed,Chicago,0,1,1,1,0-2,0-0,4:13,1,1,+2,0,1,0-0,2,0
Zach Randolph,Memphis,3,0,1,5,4-15,2-2,32:37,5,3,-9,10,0,0-0,10,5
Tayshaun Prince,Memphis,0,0,0,2,1-2,1-2,19:32,0,1,+3,3,0,0-0,2,2
Kosta Koufos,Memphis,0,1,1,2,6-8,0-0,30:05,1,5,+4,12,1,0-0,3,1
Mike Conley,Memphis,9,0,1,3,9-19,8-10,36:33,3,2,+5,26,6,0-2,6,1
Tony Allen,Memphis,0,1,1,0,5-7,3-4,34:15,0,3,-13,13,2,0-0,0,4
James Johnson,Memphis,3,3,3,7,4-13,5-6,24:11,3,6,+0,13,2,0-2,10,1
Ed Davis,Memphis,0,1,1,4,3-4,2-4,23:28,0,4,+1,8,2,0-0,4,1
Jerryd Bayless,Memphis,1,0,1,1,2-5,0-0,19:57,0,2,-10,4,0,0-0,1,3
Mike Miller,Memphis,2,0,0,0,1-2,0-0,16:02,0,1,+2,2,0,0-1,0,0
Jon Leuer,Memphis,1,0,1,1,0-3,0-0,3:19,0,0,-3,0,0,0-0,1,2
