Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Hamilton,Chicago,1,0,0,2,3-6,0-0,17:11,0,2,+0,7,0,1-2,2,4
Carlos Boozer,Chicago,1,1,0,6,12-17,3-5,42:09,6,1,+0,27,0,0-0,12,3
Kirk Hinrich,Chicago,8,1,0,4,3-8,2-2,29:11,0,4,+0,10,1,2-5,4,3
Luol Deng,Chicago,5,0,0,3,2-9,2-2,43:22,1,2,+0,6,2,0-2,4,0
Nate Robinson,Chicago,1,0,0,0,5-9,2-2,18:49,0,2,+0,13,3,1-2,0,0
Joakim Noah,Chicago,4,0,0,6,5-11,3-4,36:31,6,3,+0,13,1,0-0,12,3
Marco Belinelli,Chicago,0,0,0,0,3-8,0-0,17:48,0,1,+0,7,0,1-3,0,1
Taj Gibson,Chicago,0,0,0,4,1-6,3-4,17:20,5,2,+0,5,0,0-0,9,1
Jimmy Butler,Chicago,2,0,0,4,2-6,4-5,17:39,1,3,+0,8,0,0-0,5,0
Ray Allen,Miami,2,0,0,3,2-3,0-0,23:16,2,4,+0,5,0,1-2,5,2
Mike Miller,Miami,0,0,0,0,0-1,0-0,10:14,0,0,+0,0,0,0-1,0,0
Shane Battier,Miami,1,0,0,1,1-6,0-0,26:00,0,2,+0,3,1,1-5,1,0
LeBron James,Miami,2,0,0,6,8-14,13-16,41:05,0,2,+0,30,1,1-5,6,2
Chris Bosh,Miami,5,2,0,4,5-12,4-4,37:55,1,4,+0,14,1,0-2,5,4
Dwyane Wade,Miami,4,0,0,3,7-11,7-9,32:52,0,3,+0,22,2,1-1,3,3
Udonis Haslem,Miami,0,0,0,2,2-3,0-0,20:26,1,3,+0,4,2,0-0,3,0
Joel Anthony,Miami,0,0,0,0,0-1,0-0,7:11,0,0,+0,0,0,0-0,0,0
Mario Chalmers,Miami,3,0,0,1,2-6,0-0,25:05,0,2,+0,5,1,1-3,1,1
Norris Cole,Miami,0,0,0,4,3-8,0-2,15:56,0,2,+0,6,0,0-1,4,0
