Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Chicago,6,0,2,2,4-12,0-0,35:46,0,2,-8,11,0,3-7,2,1
Carlos Boozer,Chicago,2,0,0,7,2-7,6-8,26:51,2,2,-19,10,1,0-0,9,0
Joakim Noah,Chicago,3,1,3,8,8-17,7-8,29:16,4,1,-11,23,2,0-0,12,4
D.J. Augustin,Chicago,5,0,0,0,5-10,2-2,35:59,0,4,-16,15,1,3-7,0,5
Jimmy Butler,Chicago,0,1,0,0,0-2,3-7,16:40,0,1,-13,3,1,0-2,0,1
Tony Snell,Chicago,1,1,1,6,4-15,0-0,41:09,2,1,-6,10,1,2-11,8,1
Taj Gibson,Chicago,3,2,0,4,5-9,6-8,30:24,2,3,+0,16,2,0-1,6,2
Marquis Teague,Chicago,0,0,0,1,0-2,3-4,12:01,0,2,+4,3,0,0-1,1,2
Nazr Mohammed,Chicago,0,1,1,1,1-3,2-2,9:29,1,0,+6,4,0,0-0,2,0
Erik Murphy,Chicago,0,0,0,0,0-0,0-0,2:25,0,0,+3,0,0,0-0,0,0
Kevin Durant,Oklahoma City,6,1,0,9,13-20,2-2,33:18,0,2,+17,32,3,4-5,9,1
Serge Ibaka,Oklahoma City,1,3,0,2,2-4,0-0,20:54,1,5,+10,5,0,1-1,3,1
Kendrick Perkins,Oklahoma City,1,0,0,4,0-0,0-0,20:47,0,4,+5,0,1,0-0,4,1
Russell Westbrook,Oklahoma City,10,0,2,2,7-12,6-7,27:52,0,4,+8,20,1,0-0,2,5
Thabo Sefolosha,Oklahoma City,4,1,0,4,4-11,1-2,22:22,1,0,+11,10,2,1-4,5,0
Reggie Jackson,Oklahoma City,2,0,0,5,8-12,0-0,27:35,0,1,+5,18,0,2-2,5,6
Steven Adams,Oklahoma City,0,2,1,4,1-4,2-2,27:13,3,5,+7,4,4,0-0,7,2
Jeremy Lamb,Oklahoma City,2,0,2,1,3-11,0-0,23:02,1,3,-5,7,1,1-2,2,0
Nick Collison,Oklahoma City,0,0,1,2,4-6,1-1,19:50,1,2,+10,9,0,0-0,3,0
Derek Fisher,Oklahoma City,0,0,0,1,0-3,0-0,11:36,1,1,+2,0,0,0-1,2,0
Perry Jones,Oklahoma City,0,0,0,0,0-0,0-0,3:06,0,0,-7,0,0,0-0,0,0
Andre Roberson,Oklahoma City,0,0,0,1,1-1,0-0,2:25,0,0,-3,2,0,0-0,1,0
