Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Chicago,1,2,0,2,3-9,4-6,38:28,0,5,+5,11,0,1-5,2,5
Carlos Boozer,Chicago,1,1,1,8,9-21,1-2,31:48,4,2,+5,19,1,0-0,12,1
Joakim Noah,Chicago,2,1,1,12,7-10,0-0,36:53,2,1,+5,14,1,0-0,14,3
Jimmy Butler,Chicago,4,0,0,3,5-14,7-8,43:45,1,3,+9,18,3,1-4,4,2
Kirk Hinrich,Chicago,2,0,2,2,2-7,4-4,24:45,0,4,+9,8,2,0-1,2,2
D.J. Augustin,Chicago,2,0,0,3,5-10,5-5,28:09,0,4,+2,18,1,3-6,3,3
Taj Gibson,Chicago,1,2,1,5,2-5,4-6,22:36,1,3,+2,8,1,0-1,6,2
Tony Snell,Chicago,0,0,0,0,2-2,0-0,8:57,0,1,+4,5,0,1-1,0,0
Nazr Mohammed,Chicago,0,0,0,1,0-0,0-0,4:40,0,0,+4,0,0,0-0,1,0
Channing Frye,Phoenix,1,2,0,7,6-16,4-4,34:33,1,2,-3,18,1,2-11,8,2
P.J. Tucker,Phoenix,0,0,1,8,2-6,0-0,26:31,1,2,-3,5,0,1-3,9,1
Miles Plumlee,Phoenix,0,0,0,5,3-5,2-2,31:19,5,2,-7,8,3,0-0,10,2
Goran Dragic,Phoenix,1,0,1,5,9-15,4-8,34:42,2,4,-5,24,1,2-4,7,5
Gerald Green,Phoenix,5,1,0,2,2-13,0-0,25:33,1,2,-8,5,0,1-5,3,3
Markieff Morris,Phoenix,0,2,2,4,4-13,3-4,29:39,1,5,-5,12,2,1-4,5,5
Leandro Barbosa,Phoenix,2,0,1,1,3-6,7-8,22:56,0,4,-4,13,0,0-0,1,1
Marcus Morris,Phoenix,0,0,1,4,1-3,2-3,20:22,0,1,-4,5,0,1-1,4,1
Ish Smith,Phoenix,3,0,0,0,1-3,0-0,14:25,0,1,-6,2,1,0-0,0,1
