Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Hamilton,Chicago,5,0,0,1,6-9,1-1,18:18,0,2,+0,15,0,2-3,1,1
Carlos Boozer,Chicago,3,0,0,8,16-24,4-4,40:33,4,5,+0,36,1,0-1,12,2
Kirk Hinrich,Chicago,3,0,0,3,1-3,1-2,33:50,1,6,+0,3,3,0-1,4,3
Luol Deng,Chicago,7,1,0,5,6-14,6-6,47:41,1,1,+0,19,1,1-2,6,1
Nate Robinson,Chicago,2,0,0,2,0-3,0-0,18:25,0,3,+0,0,0,0-1,2,0
Joakim Noah,Chicago,4,1,0,8,5-14,6-8,47:40,6,3,+0,16,2,0-0,14,0
Marco Belinelli,Chicago,2,0,0,3,2-9,6-9,34:36,0,3,+0,10,0,0-3,3,3
Daequan Cook,Chicago,0,0,0,0,0-0,0-0,0:04,0,0,+0,0,0,0-0,0,0
Taj Gibson,Chicago,0,0,0,2,3-9,2-6,17:43,2,6,+0,8,0,0-0,4,3
Jimmy Butler,Chicago,0,0,0,0,0-1,0-0,6:09,0,1,+0,0,0,0-0,0,1
Amir Johnson,Toronto,2,1,0,5,2-9,1-4,44:03,5,5,+0,5,2,0-0,10,4
Jose Calderon,Toronto,6,0,0,2,3-10,3-3,21:10,0,0,+0,9,0,0-3,2,1
Alan Anderson,Toronto,1,0,0,4,10-18,3-4,35:01,1,6,+0,27,1,4-9,5,1
Kyle Lowry,Toronto,7,0,0,3,8-15,8-11,34:29,2,2,+0,26,2,2-4,5,0
Aaron Gray,Toronto,0,0,0,0,0-0,0-0,4:37,0,2,+0,0,0,0-0,0,1
DeMar DeRozan,Toronto,1,0,0,3,6-13,6-6,40:07,0,4,+0,18,0,0-0,3,2
Ed Davis,Toronto,1,2,0,4,5-12,1-2,38:06,2,4,+0,11,0,0-0,6,1
Landry Fields,Toronto,0,1,0,3,0-3,1-2,18:24,2,1,+0,1,0,0-0,5,1
Terrence Ross,Toronto,0,0,0,1,0-1,0-0,14:13,0,1,+0,0,0,0-0,1,1
Quincy Acy,Toronto,2,1,0,5,4-4,0-0,14:50,1,4,+0,8,1,0-0,6,0
