Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tristan Thompson,Cleveland,1,0,2,8,4-9,1-2,34:56,3,1,-20,9,1,0-0,11,0
Alonzo Gee,Cleveland,0,0,0,1,0-2,0-0,10:33,0,0,-12,0,0,0-0,1,1
Andrew Bynum,Cleveland,2,2,0,4,9-14,2-7,26:37,9,1,-11,20,0,0-0,13,3
Kyrie Irving,Cleveland,4,0,0,4,0-9,0-3,20:28,0,1,-19,0,0,0-3,4,0
C.J. Miles,Cleveland,0,0,0,2,1-8,0-0,11:46,0,2,-14,3,0,1-4,2,2
Dion Waiters,Cleveland,1,0,0,2,13-20,3-3,34:42,0,0,-7,30,0,1-4,2,2
Jarrett Jack,Cleveland,3,0,0,3,4-10,2-2,28:56,0,2,-6,12,1,2-4,3,1
Matthew Dellavedova,Cleveland,4,0,0,0,3-7,0-0,25:37,1,2,+13,7,1,1-2,1,1
Anderson Varejao,Cleveland,4,0,1,5,1-6,0-0,20:41,1,1,+3,2,1,0-0,6,0
Anthony Bennett,Cleveland,0,0,0,0,0-3,0-0,9:13,0,0,-12,0,0,0-2,0,0
Tyler Zeller,Cleveland,0,0,0,1,2-3,0-0,7:15,2,1,-4,4,0,0-0,3,1
Earl Clark,Cleveland,0,0,0,0,1-3,0-0,6:25,0,0,-6,2,0,0-1,0,0
Sergey Karasev,Cleveland,0,0,0,1,0-0,0-0,2:51,0,0,+0,0,0,0-0,1,0
Paul Millsap,Atlanta,5,0,0,7,7-14,1-3,27:18,7,0,+15,16,1,1-3,14,0
DeMarre Carroll,Atlanta,2,0,0,7,4-10,2-3,27:03,1,3,+2,10,1,0-3,8,2
Al Horford,Atlanta,4,2,1,6,10-19,2-2,31:14,3,1,+12,22,2,0-1,9,2
Kyle Korver,Atlanta,2,0,0,1,4-6,0-0,31:59,0,1,+8,10,0,2-3,1,0
Jeff Teague,Atlanta,6,0,0,0,6-14,0-0,24:59,0,2,+6,13,1,1-4,0,1
Lou Williams,Atlanta,3,0,1,1,5-11,1-3,26:45,0,2,+13,13,0,2-6,1,3
Gustavo Ayon,Atlanta,3,0,0,6,3-3,0-0,20:27,1,2,+5,6,0,0-0,7,0
Shelvin Mack,Atlanta,5,0,0,2,3-8,0-0,19:25,0,1,+13,6,1,0-1,2,0
Elton Brand,Atlanta,0,1,0,2,0-1,0-0,14:04,2,5,+6,0,0,0-0,4,2
Cartier Martin,Atlanta,0,0,0,4,5-5,0-0,11:04,0,1,+15,12,0,2-2,4,1
Jared Cunningham,Atlanta,1,0,0,0,0-0,0-0,2:51,0,0,+0,0,0,0-0,0,1
Mike Scott,Atlanta,0,0,0,0,0-0,0-0,2:51,0,0,+0,0,0,0-0,0,0
