Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tristan Thompson,Cleveland,3,0,1,4,3-8,3-4,36:01,5,2,-8,9,1,0-0,9,3
Earl Clark,Cleveland,0,0,1,6,3-9,0-0,23:44,0,0,-4,7,0,1-4,6,0
Anderson Varejao,Cleveland,1,2,0,8,2-6,0-0,35:32,4,2,-5,4,0,0-0,12,2
Jarrett Jack,Cleveland,7,0,1,3,1-8,0-0,38:25,1,2,-9,2,0,0-1,4,1
C.J. Miles,Cleveland,0,0,1,7,6-19,5-8,31:23,1,4,+7,19,2,2-8,8,1
Matthew Dellavedova,Cleveland,2,0,0,0,4-7,1-2,28:49,0,3,-6,13,1,4-4,0,0
Dion Waiters,Cleveland,0,1,0,1,9-18,5-6,28:29,1,3,-7,26,0,3-5,2,4
Anthony Bennett,Cleveland,0,0,0,1,0-2,0-0,8:18,0,0,-5,0,0,0-0,1,0
Tyler Zeller,Cleveland,1,0,0,0,1-2,0-0,6:14,2,5,+4,2,0,0-0,2,0
Henry Sims,Cleveland,0,0,0,1,0-0,0-0,3:05,0,1,-2,0,0,0-0,1,0
Joe Johnson,Brooklyn,2,0,0,2,1-7,0-0,34:46,1,1,+12,2,0,0-5,3,1
Paul Pierce,Brooklyn,5,3,0,1,6-14,3-3,34:21,1,2,-6,17,1,2-6,2,3
Reggie Evans,Brooklyn,0,0,1,9,3-6,2-4,27:28,2,2,+6,8,1,0-0,11,1
Deron Williams,Brooklyn,6,0,0,2,7-10,6-7,37:43,0,2,+5,21,0,1-3,2,1
Shaun Livingston,Brooklyn,5,1,1,3,3-8,0-0,35:00,0,3,+7,6,1,0-0,3,2
Alan Anderson,Brooklyn,3,0,0,3,1-6,0-0,23:17,0,3,+2,3,0,1-3,3,1
Andray Blatche,Brooklyn,2,0,1,4,4-10,4-4,20:19,1,2,+3,12,1,0-0,5,0
Andrei Kirilenko,Brooklyn,0,0,0,2,2-3,4-4,14:07,0,1,+3,8,0,0-0,2,0
Mirza Teletovic,Brooklyn,1,0,0,1,3-6,0-0,11:37,1,2,+6,9,0,3-6,2,0
Jason Terry,Brooklyn,0,0,0,0,1-1,0-0,0:42,0,0,+3,3,0,1-1,0,0
Mason Plumlee,Brooklyn,0,0,0,0,0-0,0-0,0:14,0,0,-2,0,0,0-0,0,0
Tornike Shengelia,Brooklyn,0,0,0,0,0-0,0-0,0:14,0,0,-2,0,0,0-0,0,0
Tyshawn Taylor,Brooklyn,0,0,0,0,0-0,0-0,0:14,0,0,-2,0,0,0-0,0,0
