Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luol Deng,Cleveland,1,0,3,3,8-15,3-4,33:53,3,2,-6,19,1,0-2,6,2
Tristan Thompson,Cleveland,0,0,2,5,5-9,0-0,31:16,3,0,-10,10,0,0-0,8,0
Spencer Hawes,Cleveland,1,0,1,7,5-13,2-2,36:12,0,5,-16,13,0,1-3,7,1
Kyrie Irving,Cleveland,5,0,0,3,5-17,3-6,35:46,3,5,-10,13,2,0-7,6,4
Jarrett Jack,Cleveland,6,1,1,1,3-6,4-4,27:05,1,1,-4,10,0,0-1,2,3
Dion Waiters,Cleveland,1,0,1,4,8-18,2-2,32:11,1,1,-4,19,3,1-3,5,0
Tyler Zeller,Cleveland,0,0,2,1,2-5,1-2,16:44,4,3,+1,5,1,0-0,5,2
Matthew Dellavedova,Cleveland,1,0,0,2,1-2,0-0,15:09,0,2,-5,3,0,1-1,2,0
Anthony Bennett,Cleveland,1,0,0,0,0-1,0-0,11:45,0,0,+9,0,0,0-0,0,1
Josh McRoberts,Charlotte,7,0,0,2,4-9,0-0,37:58,1,3,+6,11,0,3-7,3,0
Michael Kidd-Gilchrist,Charlotte,0,2,0,0,3-5,2-2,23:35,0,0,+6,8,0,0-0,0,1
Al Jefferson,Charlotte,2,3,0,6,12-18,4-4,38:57,1,1,+18,28,1,0-0,7,4
Kemba Walker,Charlotte,14,1,0,3,5-13,9-9,35:01,0,4,+12,20,2,1-5,3,1
Chris Douglas-Roberts,Charlotte,1,1,1,8,4-10,2-4,32:41,1,1,+12,14,2,4-7,9,0
Anthony Tolliver,Charlotte,0,2,0,3,1-5,0-0,21:30,2,1,+6,3,0,1-4,5,0
Gary Neal,Charlotte,0,0,0,1,5-10,0-0,18:14,0,1,-6,10,0,0-3,1,2
Cody Zeller,Charlotte,1,0,0,3,2-4,3-3,16:24,1,3,-1,7,1,0-0,4,0
Luke Ridnour,Charlotte,1,0,0,2,0-3,0-0,12:59,1,2,-3,0,0,0-3,3,4
Bismack Biyombo,Charlotte,0,1,0,1,0-0,0-0,2:41,1,1,-5,0,0,0-0,2,0
