Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luol Deng,Cleveland,3,0,0,4,8-16,2-5,42:02,4,3,-14,18,4,0-4,8,2
Tristan Thompson,Cleveland,1,2,2,5,5-10,7-8,38:46,3,4,-18,17,0,0-0,8,0
Anderson Varejao,Cleveland,0,0,1,3,3-8,4-4,24:47,2,1,-4,10,3,0-0,5,0
Kyrie Irving,Cleveland,8,1,1,3,8-18,7-8,39:42,0,2,-19,27,0,4-9,3,3
Jarrett Jack,Cleveland,8,0,0,3,5-7,1-2,39:42,0,3,-12,12,0,1-2,3,3
Anthony Bennett,Cleveland,0,1,0,1,3-8,4-4,26:21,0,6,-15,11,1,1-2,1,0
C.J. Miles,Cleveland,0,0,0,0,4-7,0-0,12:38,0,2,-1,10,1,2-5,0,0
Dion Waiters,Cleveland,1,0,1,1,0-4,0-2,10:45,0,2,-7,0,0,0-2,1,0
Tyler Zeller,Cleveland,0,0,0,1,1-1,0-0,3:29,1,1,+1,2,0,0-0,2,1
Matthew Dellavedova,Cleveland,0,0,0,0,0-0,0-0,0:54,0,0,+2,0,0,0-0,0,0
Henry Sims,Cleveland,0,0,0,0,0-1,0-0,0:54,0,0,+2,0,0,0-0,0,0
Dirk Nowitzki,Dallas,2,0,0,8,9-16,2-2,29:34,0,2,-3,23,0,3-5,8,2
Jae Crowder,Dallas,1,0,0,2,3-9,2-2,21:52,1,3,+9,8,0,0-4,3,0
Samuel Dalembert,Dallas,0,2,1,4,7-8,4-4,24:30,4,2,+10,18,0,0-0,8,0
Monta Ellis,Dallas,7,1,1,2,8-12,4-5,33:43,0,5,+10,22,2,2-3,2,6
Jose Calderon,Dallas,10,0,0,2,4-7,0-0,32:59,0,0,+19,11,0,3-5,2,1
Brandan Wright,Dallas,0,0,0,3,4-7,6-7,22:26,4,1,+13,14,1,0-0,7,1
Vince Carter,Dallas,2,2,0,7,3-6,0-0,22:04,0,4,+26,7,0,1-4,7,0
Wayne Ellington,Dallas,2,0,1,3,1-5,0-0,19:22,0,1,-4,3,1,1-2,3,1
Devin Harris,Dallas,4,0,1,1,4-8,6-6,19:06,0,1,+6,16,0,2-3,1,1
DeJuan Blair,Dallas,1,0,0,3,1-2,0-0,9:45,1,3,+5,2,0,0-0,4,1
Shane Larkin,Dallas,1,0,0,0,0-0,0-0,3:46,0,1,-4,0,0,0-0,0,0
Bernard James,Dallas,0,0,0,0,0-0,0-0,0:54,0,0,-2,0,0,0-0,0,0
