Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luol Deng,Cleveland,1,0,2,5,0-9,4-6,35:52,2,1,+6,4,1,0-3,7,2
Tristan Thompson,Cleveland,1,0,1,9,12-16,1-3,34:07,6,3,+3,25,0,0-0,15,0
Tyler Zeller,Cleveland,1,1,0,3,4-6,0-0,21:42,0,6,+5,8,0,0-0,3,0
Kyrie Irving,Cleveland,4,0,1,3,6-16,9-9,35:30,2,2,+4,23,3,2-3,5,2
Jarrett Jack,Cleveland,8,0,0,2,3-7,2-3,27:55,0,2,+9,9,2,1-2,2,1
Dion Waiters,Cleveland,0,0,0,3,4-8,0-4,20:02,0,1,-5,9,0,1-3,3,1
Anthony Bennett,Cleveland,0,0,0,2,1-4,0-0,14:35,0,2,-2,2,1,0-1,2,1
Henry Sims,Cleveland,0,0,0,4,0-3,0-0,13:47,1,1,+0,0,2,0-0,5,1
Matthew Dellavedova,Cleveland,2,0,0,0,0-2,3-3,12:34,0,2,+2,3,0,0-0,0,1
Earl Clark,Cleveland,0,1,1,1,2-5,1-2,11:47,1,1,-2,5,0,0-1,2,1
C.J. Miles,Cleveland,0,0,0,0,2-6,0-0,8:50,0,0,+0,5,0,1-2,0,0
Alonzo Gee,Cleveland,0,0,0,0,0-2,0-0,3:19,1,0,+0,0,0,0-0,1,0
Josh Smith,Detroit,3,4,0,9,7-15,3-6,39:31,1,4,-7,18,0,1-3,10,2
Greg Monroe,Detroit,5,1,1,7,7-13,2-4,35:08,2,3,-3,16,1,0-0,9,3
Andre Drummond,Detroit,1,0,0,7,7-13,2-3,35:15,10,5,+4,16,2,0-1,17,2
Kyle Singler,Detroit,1,0,1,6,2-9,8-8,40:36,1,4,-3,12,0,0-4,7,0
Brandon Jennings,Detroit,5,0,0,3,3-14,0-2,35:32,1,0,-3,9,0,3-11,4,2
Will Bynum,Detroit,4,0,0,2,5-10,2-2,20:08,0,4,-3,12,1,0-2,2,2
Jonas Jerebko,Detroit,1,0,0,2,1-1,0-0,12:31,0,0,+2,2,0,0-0,2,0
Rodney Stuckey,Detroit,0,0,0,1,1-5,2-2,12:00,0,2,-7,4,1,0-1,1,3
Kentavious Caldwell-Pope,Detroit,1,0,0,1,0-3,0-0,9:20,0,2,+0,0,0,0-1,1,2
