Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tristan Thompson,Cleveland,0,0,3,9,3-11,1-4,36:51,4,2,-2,7,0,0-0,13,2
Earl Clark,Cleveland,0,1,2,4,2-11,2-2,34:10,0,4,-4,7,0,1-5,4,0
Anderson Varejao,Cleveland,2,1,1,5,5-13,4-6,30:10,6,4,-11,14,1,0-0,11,1
Kyrie Irving,Cleveland,5,1,1,4,3-9,4-4,35:09,1,0,-7,10,2,0-2,5,2
C.J. Miles,Cleveland,0,0,1,0,2-5,1-1,14:48,0,2,-5,5,1,0-1,0,2
Dion Waiters,Cleveland,2,0,0,4,5-13,2-2,35:08,0,2,-12,12,0,0-2,4,1
Jarrett Jack,Cleveland,6,0,0,3,4-9,0-0,24:45,0,3,-17,8,0,0-2,3,2
Tyler Zeller,Cleveland,0,0,1,5,3-5,1-2,16:27,0,3,-8,7,0,0-0,5,3
Anthony Bennett,Cleveland,0,0,0,2,2-4,2-2,10:41,1,2,-11,6,1,0-0,3,0
Henry Sims,Cleveland,0,0,0,0,0-0,0-0,1:27,0,0,+2,0,0,0-0,0,0
Alonzo Gee,Cleveland,0,0,0,0,0-0,0-0,0:24,0,0,+0,0,0,0-0,0,0
Paul George,Indiana,2,0,0,7,7-19,5-6,38:29,1,3,+14,21,0,2-11,8,3
David West,Indiana,3,3,1,4,4-11,0-0,28:11,0,2,-4,8,0,0-0,4,1
Roy Hibbert,Indiana,1,5,1,0,8-13,3-4,35:03,2,4,+13,19,1,0-0,2,2
George Hill,Indiana,2,0,1,5,5-9,0-0,34:38,1,2,+10,13,2,3-6,6,0
Lance Stephenson,Indiana,8,0,0,4,3-7,0-0,32:15,0,2,-1,6,0,0-3,4,0
Luis Scola,Indiana,2,0,0,8,2-6,2-2,19:25,1,1,+19,6,2,0-0,9,2
Danny Granger,Indiana,0,0,0,3,3-7,6-6,18:58,1,1,+16,12,2,0-4,4,2
C.J. Watson,Indiana,4,0,0,0,0-2,0-0,17:14,0,0,+10,0,0,0-1,0,0
Ian Mahinmi,Indiana,0,1,0,2,2-3,2-4,12:57,2,0,+2,6,0,0-0,4,0
Rasual Butler,Indiana,0,0,0,0,0-0,0-0,1:25,0,1,-2,0,0,0-0,0,1
Donald Sloan,Indiana,0,0,0,0,0-0,0-0,1:25,0,0,-2,0,0,0-0,0,0
