Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luke Walton,Cleveland,3,1,0,2,1-4,0-0,17:52,0,2,+0,3,2,1-1,2,2
Shaun Livingston,Cleveland,0,0,0,0,4-5,3-3,18:05,0,1,+0,11,1,0-0,0,2
C.J. Miles,Cleveland,1,0,0,0,1-9,0-0,18:59,1,2,+0,3,0,1-4,1,1
Daniel Gibson,Cleveland,1,0,0,2,0-4,0-0,16:36,0,1,+0,0,0,0-3,2,0
Marreese Speights,Cleveland,1,0,0,4,6-9,0-0,20:48,0,3,+0,12,0,0-0,4,0
Omri Casspi,Cleveland,1,1,0,1,0-1,0-0,8:34,0,0,+0,0,0,0-0,1,0
Wayne Ellington,Cleveland,4,0,0,2,5-10,0-0,32:39,0,1,+0,12,0,2-4,2,1
Alonzo Gee,Cleveland,2,0,0,1,2-6,0-2,23:14,0,4,+0,4,3,0-1,1,1
Kyrie Irving,Cleveland,6,0,0,2,11-20,6-6,28:40,0,0,+0,31,0,3-5,2,3
Tristan Thompson,Cleveland,1,2,0,8,6-9,0-1,28:53,2,4,+0,12,0,0-0,10,1
Tyler Zeller,Cleveland,0,1,0,6,2-5,0-0,24:25,0,5,+0,4,0,0-0,6,2
Kevin Jones,Cleveland,0,0,0,0,0-0,0-0,1:15,0,0,+0,0,0,0-0,0,0
Louis Amundson,New Orleans,0,0,0,2,1-1,0-0,10:23,2,3,+0,2,0,0-0,4,2
Eric Gordon,New Orleans,6,1,0,4,5-11,4-5,28:00,0,1,+0,14,0,0-3,4,3
Robin Lopez,New Orleans,0,2,0,0,1-5,1-2,15:49,4,3,+0,3,0,0-0,4,2
Ryan Anderson,New Orleans,2,0,0,6,9-14,0-0,31:45,0,2,+0,23,1,5-7,6,1
Al-Farouq Aminu,New Orleans,0,0,0,5,1-2,2-2,19:21,0,0,+0,4,0,0-0,5,0
Xavier Henry,New Orleans,0,0,0,0,0-0,0-0,0:27,0,0,+0,0,0,0-0,0,0
Greivis Vasquez,New Orleans,9,0,0,2,10-14,3-4,35:23,0,4,+0,25,3,2-2,2,3
Terrel Harris,New Orleans,0,0,0,4,0-2,1-2,12:54,0,2,+0,1,0,0-1,4,1
Lance Thomas,New Orleans,0,0,0,0,0-0,0-0,0:27,0,0,+0,0,0,0-0,0,0
Anthony Davis,New Orleans,2,2,0,10,5-11,7-11,37:11,3,1,+0,17,1,0-0,13,0
Darius Miller,New Orleans,1,0,0,2,3-7,0-0,23:25,0,2,+0,8,0,2-4,2,1
Brian Roberts,New Orleans,3,0,0,1,5-7,2-3,24:58,0,1,+0,15,2,3-4,1,1
