Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Shaun Livingston,Cleveland,4,0,0,2,1-2,3-4,25:14,0,1,+0,5,3,0-0,2,0
Daniel Gibson,Cleveland,0,0,0,1,0-2,1-1,10:00,0,0,+0,1,1,0-1,1,0
Marreese Speights,Cleveland,0,1,0,4,7-13,3-3,26:32,1,3,+0,17,1,0-0,5,2
Wayne Ellington,Cleveland,0,0,0,2,3-5,3-4,24:15,0,3,+0,12,0,3-4,2,0
Alonzo Gee,Cleveland,0,0,0,1,2-2,4-4,26:40,2,2,+0,8,1,0-0,3,1
Kyrie Irving,Cleveland,5,0,0,4,13-26,3-4,38:11,0,2,+0,32,1,3-5,4,3
Tristan Thompson,Cleveland,1,3,0,4,7-12,0-0,32:35,4,4,+0,14,1,0-0,8,4
Dion Waiters,Cleveland,1,0,0,2,3-10,0-0,27:58,0,4,+0,6,0,0-1,2,3
Tyler Zeller,Cleveland,1,0,0,9,1-6,2-2,28:35,3,3,+0,4,0,0-0,12,2
Amir Johnson,Toronto,1,1,0,9,7-12,4-4,37:06,3,5,+0,18,1,0-0,12,3
Jose Calderon,Toronto,5,0,0,1,4-9,0-0,26:18,0,2,+0,10,1,2-6,1,3
Alan Anderson,Toronto,3,0,0,1,7-14,3-4,31:20,1,4,+0,17,2,0-2,2,1
Kyle Lowry,Toronto,7,0,0,4,1-7,3-4,21:42,1,3,+0,6,0,1-4,5,1
DeMar DeRozan,Toronto,2,1,0,3,7-17,1-3,34:47,1,2,+0,15,1,0-1,4,1
Ed Davis,Toronto,1,0,0,6,8-12,0-1,36:24,3,3,+0,16,1,0-0,9,2
Landry Fields,Toronto,3,0,0,3,1-3,2-2,21:45,2,0,+0,4,0,0-1,5,2
Terrence Ross,Toronto,0,0,0,1,3-4,0-0,18:47,0,1,+0,8,0,2-3,1,1
Quincy Acy,Toronto,0,2,0,0,2-4,0-0,11:51,0,3,+0,4,0,0-0,0,1
